headword_lang,head,pos,additional_pos,trans(no paren),trans(with paren),original_html
French,A. O.,Initialism,,"Afrique orientale , used as an overprint on stamps of Belgian Congo in 1918 for use in Belgian occupied German East Africa."," Afrique orientale (East Africa), used as an overprint on stamps of Belgian Congo in 1918 for use in Belgian occupied German East Africa.","<li id=""mwBw""> Afrique orientale (East Africa), used as an overprint on stamps of <a href=""Belgian_Congo.html"" id=""mwCQ"" title=""Belgian Congo"">Belgian Congo</a> in 1918 for use in Belgian occupied <a href=""German_East_Africa.html"" id=""mwCg"" title=""German East Africa"">German East Africa</a>.</li>"
French,ALÉNA,Alternative forms,,ALENA, ALENA,"<li id=""mwAw""> <span class=""Latn"" id=""mwBA"" lang=""fr"">ALENA</span></li>"
French,ALÉNA,Etymology,,Acronym of Accord de libre-échange nord-américain.,Acronym of Accord de libre-échange nord-américain.,"<p id=""mwBQ""><span class=""use-with-mention"" id=""mwBg"">Acronym of <i class=""Latn mention"" lang=""fr""><a href=""accord.html"" title=""accord"">Accord</a> <a href=""de.html"" title=""de"">de</a> <a href=""libre.html"" title=""libre"">libre</a>-<a href=""%C3%A9change.html"" title=""échange"">échange</a> <a href=""nord-am%C3%A9ricain.html"" title=""nord-américain"">nord-américain</a></i></span><span>.</span></p>"
French,ALÉNA,Pronunciation,,IPA: /a.le.na/, IPA(key): /a.le.na/,"<li id=""mwCQ""> IPA<sup>(key)</sup><span>:</span><span> </span><span class=""IPA"" lang="""">/a.le.na/</span></li>"
French,ALÉNA,Proper noun, f,NAFTA, NAFTA,"<li id=""mwEA""> <a href=""NAFTA.html"" id=""mwEQ"" title=""NAFTA"">NAFTA</a></li>"
French,AML,Initialism,,auto-mitrailleuse lourde: heavy machine-gun carrier or armored car, auto-mitrailleuse lourde: heavy machine-gun carrier or armored car,"<li id=""mwBg""> <i id=""mwBw"">auto-mitrailleuse lourde</i>: <a href=""heavy.html"" id=""mwCA"" title=""heavy"">heavy</a> <a href=""machine-gun.html"" id=""mwCQ"" title=""machine-gun"">machine-gun</a> <a href=""carrier.html"" id=""mwCg"" title=""carrier"">carrier</a> or <a class=""external"" href=""https://en.wikipedia.org/wiki/armored%20car"" id=""mwCw"" title=""w:armored car"">armored car</a></li>"
French,APN,Noun, m ‎(plural APN),Initialism of appareil photo numérique , Initialism of appareil photo numérique (digital camera),"<li id=""mwBg""> <span class=""use-with-mention"" id=""mwBw"">Initialism of <i class=""Latn mention"" lang=""fr""><a href=""appareil_photo_num%C3%A9rique.html"" title=""appareil photo numérique"">appareil photo numérique</a></i></span> (digital camera)</li>"
French,ARYM,Etymology,,Acronym of Ancienne République yougoslave de Macédoine.,Acronym of Ancienne République yougoslave de Macédoine.,"<p id=""mwAg"">Acronym of <i id=""mwAw"">Ancienne République yougoslave de Macédoine</i>.</p>"
French,ARYM,Pronunciation,,"Audio,  IPA: /aʁim/"," Audio(file),  IPA(key): /aʁim/","<li id=""mwBQ""> <table class=""audiotable"" id=""mwBg"" style=""vertical-align: top; display:inline-block; list-style:none;line-height: 1em; border-collapse:collapse;""><tbody><tr><td class=""unicode audiolink"" style=""padding-right:5px; padding-left: 0;"">Audio</td><td class=""audiofile""></td><td class=""audiometa"" style=""font-size: 80%;"">(file)</td></tr></tbody></table></li>, <li id=""mwCA""> IPA<sup>(key)</sup><span>:</span><span> </span><span class=""IPA"" lang="""">/aʁim/</span></li>"
French,ARYM,Proper noun,,FYROM , FYROM (former Yugoslav Republic of Macedonia),"<li id=""mwDw""> <a href=""FYROM.html"" id=""mwEA"" title=""FYROM"">FYROM</a> (former Yugoslav Republic of Macedonia)</li>"
French,AVC,Etymology,,Initialism of accident vasculaire cérébral.,Initialism of accident vasculaire cérébral.,"<p id=""mwAQ""><span class=""use-with-mention"" id=""mwAg"">Initialism of <i class=""Latn mention"" lang=""fr""><a href=""accident_vasculaire_c%C3%A9r%C3%A9bral.html"" title=""accident vasculaire cérébral"">accident vasculaire cérébral</a></i></span><span>.</span></p>"
French,AVC,Noun, m ‎(plural AVC)," CVA, stroke"," (medicine) CVA, stroke","<li id=""mwCA""> <span class=""ib-brac"" id=""mwCQ"">(</span><span class=""ib-content"">medicine</span><span class=""ib-brac"" id=""mwCg"">)</span> <a href=""CVA.html"" id=""mwCw"" title=""CVA"">CVA</a>, <a href=""stroke.html"" id=""mwDA"" title=""stroke"">stroke</a></li>"
French,Aalandais,Noun," m ‎(plural Aalandais, feminine Aalandaise)",A person from Åland; an Ålander, A person from Åland; an Ålander,"<li id=""mwBg""> A person from <a href=""%C3%85land.html"" id=""mwBw"" title=""Åland"">Åland</a>; an <a href=""%C3%85lander.html"" id=""mwCA"" title=""Ålander"">Ålander</a></li>"
French,Aalandaise,Noun," f ‎(plural Aalandaises, masculine Aalandais)",feminine equivalent of Aalandais, feminine equivalent of Aalandais,"<li id=""mwBg""> <span class=""form-of-definition"" id=""mwBw"">feminine equivalent of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""fr""><a href=""Aalandais.html"" title=""Aalandais"">Aalandais</a></i></span></span></li>"
French,Aalandaises,Noun, f,feminine plural of Aalandais, feminine plural of Aalandais,"<li id=""mwBg""> <span class=""form-of-definition"" id=""mwBw"">feminine plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""fr""><a href=""Aalandais.html"" title=""Aalandais"">Aalandais</a></i></span></span></li>"
French,Aalénien,Proper noun, m, The Aalenian period.," (geology, paleontology) The Aalenian period.","<li id=""mwBg""> <span class=""ib-brac"" id=""mwBw"">(</span><span class=""ib-content"">geology<span class=""ib-comma"">,</span><span> </span>paleontology</span><span class=""ib-brac"" id=""mwCA"">)</span> The <a href=""Aalenian.html"" id=""mwCQ"" title=""Aalenian"">Aalenian</a> period.</li>"
French,Abbevillien,Proper noun, m, The Abbevillian period., (archaeology) The Abbevillian period.,"<li id=""mwBg""> <span class=""ib-brac"" id=""mwBw"">(</span><span class=""ib-content"">archaeology</span><span class=""ib-brac"" id=""mwCA"">)</span> The <a href=""Abbevillian.html"" id=""mwCQ"" title=""Abbevillian"">Abbevillian</a> period.</li>"
French,Abbevillois,Pronunciation,,Audio , Audio (Paris)(file),"<li id=""mwAw""> <table class=""audiotable"" id=""mwBA"" style=""vertical-align: top; display:inline-block; list-style:none;line-height: 1em; border-collapse:collapse;""><tbody><tr><td class=""unicode audiolink"" style=""padding-right:5px; padding-left: 0;"">Audio (Paris)</td><td class=""audiofile""></td><td class=""audiometa"" style=""font-size: 80%;"">(file)</td></tr></tbody></table></li>"
French,Abbevillois,Noun," m ‎(plural Abbevillois, feminine Abbevilloise)",Someone from the French city of Abbeville., Someone from the French city of Abbeville.,"<li id=""mwCg""> Someone from the French city of <a href=""Abbeville.html"" id=""mwCw"" title=""Abbeville"">Abbeville</a>.</li>"
French,Abbevillois,External links,,“Abbevillois” in le Trésor de la langue française informatisé ., “Abbevillois” in le Trésor de la langue française informatisé (The Digitized Treasury of the French Language).,"<li id=""mwDQ""> <span id=""mwDg"">“</span><a class=""external"" href=""http://www.cnrtl.fr/definition/Abbevillois"">Abbevillois</a><span>” in </span><i><a class=""external"" href=""https://en.wikipedia.org/wiki/fr:Trésor%20de%20la%20langue%20française%20informatisé"" title=""w:fr:Trésor de la langue française informatisé"">le Trésor de la langue française informatisé</a></i><span> (</span><i>The Digitized Treasury of the French Language</i><span>).</span></li>"
French,Abbevilloise,Pronunciation,,Audio , Audio (Paris)(file),"<li id=""mwAw""> <table class=""audiotable"" id=""mwBA"" style=""vertical-align: top; display:inline-block; list-style:none;line-height: 1em; border-collapse:collapse;""><tbody><tr><td class=""unicode audiolink"" style=""padding-right:5px; padding-left: 0;"">Audio (Paris)</td><td class=""audiofile""></td><td class=""audiometa"" style=""font-size: 80%;"">(file)</td></tr></tbody></table></li>"
French,Abbevilloise,Noun, f ‎(plural Abbevilloises),feminine equivalent of Abbevillois, feminine equivalent of Abbevillois,"<li id=""mwCg""> <span class=""form-of-definition"" id=""mwCw"">feminine equivalent of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""fr""><a href=""Abbevillois.html"" title=""Abbevillois"">Abbevillois</a></i></span></span></li>"
French,Abbevilloise,External links,,“Abbevilloise” in le Trésor de la langue française informatisé ., “Abbevilloise” in le Trésor de la langue française informatisé (The Digitized Treasury of the French Language).,"<li id=""mwDQ""> <span id=""mwDg"">“</span><a class=""external"" href=""http://www.cnrtl.fr/definition/Abbevilloise"">Abbevilloise</a><span>” in </span><i><a class=""external"" href=""https://en.wikipedia.org/wiki/fr:Trésor%20de%20la%20langue%20française%20informatisé"" title=""w:fr:Trésor de la langue française informatisé"">le Trésor de la langue française informatisé</a></i><span> (</span><i>The Digitized Treasury of the French Language</i><span>).</span></li>"
French,Abbevilloises,Noun, f,feminine plural of Abbevillois, feminine plural of Abbevillois,"<li id=""mwBg""> <span class=""form-of-definition"" id=""mwBw"">feminine plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""fr""><a href=""Abbevillois.html"" title=""Abbevillois"">Abbevillois</a></i></span></span></li>"
French,Abdoul,Proper noun, m,"A male given name of Arabic origin, equivalent to Abdul."," A male given name of Arabic origin, equivalent to Abdul.","<li id=""mwBQ""> <span class=""use-with-mention"" id=""mwBg"">A male <a href=""given_name.html"" title=""given name"">given name</a></span> of Arabic origin, equivalent to <a href=""Abdul.html"" id=""mwCA"" title=""Abdul"">Abdul</a>.</li>"
French,Abdoulaye,Etymology,,"A French spelling of a name ultimately derived from Arabic عَبْدُ اللّٰهِ ‎, i.e. Abdullah. Native spellings include Wolof Abdulaay and Pulaar Abdullaay etc.","A French spelling of a name ultimately derived from Arabic عَبْدُ اللّٰهِ ‎(ʿabdu llāhi), i.e. Abdullah. Native spellings include Wolof Abdulaay and Pulaar Abdullaay etc.","<p id=""mwAQ"">A French spelling of a name ultimately derived from <span class=""etylcleanup"" id=""mwAg""><span class=""etyl""><a class=""external"" href=""https://en.wikipedia.org/wiki/Arabic%20language"" title=""w:Arabic language"">Arabic</a></span></span> <i class=""Arab mention"" id=""mwBA"" lang=""ar""><a href=""%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D9%84%D9%87.html"" title=""عبد الله"">عَبْدُ اللّٰهِ</a></i><span> </span><span>‎</span><span class=""mention-gloss-paren"">(</span><span class=""tr mention-tr"" lang="""">ʿabdu llāhi</span><span class=""mention-gloss-paren"" id=""mwBQ"">)</span>, i.e. <a href=""Abdullah.html"" id=""mwBg"" title=""Abdullah"">Abdullah</a>. Native spellings include Wolof Abdulaay and Pulaar Abdullaay etc.</p>"
French,Abdoulaye,Proper noun, m,"A male given name, widely used in Islamic West Africa."," A male given name, widely used in Islamic West Africa.","<li id=""mwDQ""> <span class=""use-with-mention"" id=""mwDg"">A male <a href=""given_name.html"" title=""given name"">given name</a></span>, widely used in Islamic West Africa.</li>"
French,Abeau,Proper noun, m,"A male given name, a very rare variant of Abel."," A male given name, a very rare variant of Abel.","<li id=""mwBQ""> <span class=""use-with-mention"" id=""mwBg"">A male <a href=""given_name.html"" title=""given name"">given name</a></span>, a very rare variant of <a href=""Abel.html"" id=""mwCA"" title=""Abel"">Abel</a>.</li>"
French,Abelin,Proper noun, m,"A male given name,from a diminutive form of Abel."," A male given name,from a diminutive form of Abel.","<li id=""mwBQ""> <span class=""use-with-mention"" id=""mwBg"">A male <a href=""given_name.html"" title=""given name"">given name</a></span>,from a <a href=""diminutive.html"" id=""mwCA"" title=""diminutive"">diminutive</a> form of <a href=""Abel.html"" id=""mwCQ"" title=""Abel"">Abel</a>.</li>"
French,Abelin,Proper noun, m,A patronymic surname​., A patronymic surname​.,"<li id=""mwCg""> <span class=""use-with-mention"" id=""mwCw"">A patronymic <a href=""surname.html"" title=""surname"">surname</a><span>​</span>.</span></li>"
French,Aberdonien,Noun," m ‎(plural Aberdoniens, feminine Aberdonienne)",Aberdonian, Aberdonian,"<li id=""mwBg""> <a href=""Aberdonian.html"" id=""mwBw"" title=""Aberdonian"">Aberdonian</a></li>"
French,Aberdonienne,Noun, f ‎(plural Aberdoniennes),feminine equivalent of Aberdonien, feminine equivalent of Aberdonien,"<li id=""mwBg""> <span class=""form-of-definition"" id=""mwBw"">feminine equivalent of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""fr""><a href=""Aberdonien.html"" title=""Aberdonien"">Aberdonien</a></i></span></span></li>"
French,Aberdoniennes,Noun, f,feminine plural of Aberdonien, feminine plural of Aberdonien,"<li id=""mwBg""> <span class=""form-of-definition"" id=""mwBw"">feminine plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""fr""><a href=""Aberdonien.html"" title=""Aberdonien"">Aberdonien</a></i></span></span></li>"
French,Aberdoniens,Noun, m,plural of Aberdonien, plural of Aberdonien,"<li id=""mwBg""> <span class=""form-of-definition"" id=""mwBw"">plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""fr""><a href=""Aberdonien.html"" title=""Aberdonien"">Aberdonien</a></i></span></span></li>"
French,Abidjanais,Etymology,,Abidjan +‎ -ais,Abidjan +‎ -ais,"<p id=""mwAg""><i class=""Latn mention"" id=""mwAw"" lang=""fr""><a href=""Abidjan.html"" title=""Abidjan"">Abidjan</a></i><span> +</span><span>‎</span><span> </span><i class=""Latn mention"" lang=""fr""><a href=""-ais.html"" title=""-ais"">-ais</a></i></p>"
French,Abidjanais,Noun," m ‎(plural Abidjanais, feminine Abidjanaise)","Somebody from Abidjan, an Abidjanese."," Somebody from Abidjan, an Abidjanese.","<li id=""mwCQ""> Somebody from <a href=""Abidjan.html"" id=""mwCg"" title=""Abidjan"">Abidjan</a>, an Abidjanese.</li>"
French,Abidjanaise,Noun, f ‎(plural Abidjanaises),feminine equivalent of Abidjanais, feminine equivalent of Abidjanais,"<li id=""mwBg""> <span class=""form-of-definition"" id=""mwBw"">feminine equivalent of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""fr""><a href=""Abidjanais.html"" title=""Abidjanais"">Abidjanais</a></i></span></span></li>"
French,Abidjanaises,Noun, f,feminine plural of Abidjanais, feminine plural of Abidjanais,"<li id=""mwBg""> <span class=""form-of-definition"" id=""mwBw"">feminine plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""fr""><a href=""Abidjanais.html"" title=""Abidjanais"">Abidjanais</a></i></span></span></li>"
French,Abitibien,Noun," m ‎(plural Abitibiens, feminine Abitibienne)",Someone from Abitibi; an Abitibian., Someone from Abitibi; an Abitibian.,"<li id=""mwBg""> Someone from <a href=""Abitibi.html"" id=""mwBw"" title=""Abitibi"">Abitibi</a>; an <a href=""Abitibian.html"" id=""mwCA"" title=""Abitibian"">Abitibian</a>.</li>"
French,Abitibienne,Noun, f ‎(plural Abitibiennes),feminine equivalent of Abitibien, feminine equivalent of Abitibien,"<li id=""mwBg""> <span class=""form-of-definition"" id=""mwBw"">feminine equivalent of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""fr""><a href=""Abitibien.html"" title=""Abitibien"">Abitibien</a></i></span></span></li>"
French,Abitibiennes,Noun, f,feminine plural of Abitibien, feminine plural of Abitibien,"<li id=""mwBg""> <span class=""form-of-definition"" id=""mwBw"">feminine plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""fr""><a href=""Abitibien.html"" title=""Abitibien"">Abitibien</a></i></span></span></li>"
French,Abitibiens,Noun, m,plural of Abitibien, plural of Abitibien,"<li id=""mwBg""> <span class=""form-of-definition"" id=""mwBw"">plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""fr""><a href=""Abitibien.html"" title=""Abitibien"">Abitibien</a></i></span></span></li>"
French,Abkhaze,Noun," m, f ‎(plural Abkhazes)",An ethnic Abkhaz person., An ethnic Abkhaz person.,"<li id=""mwBg""> An ethnic <a href=""Abkhaz.html"" id=""mwBw"" title=""Abkhaz"">Abkhaz</a> person.</li>"
French,Abkhaze,Noun," m, f ‎(plural Abkhazes)",Someone from Abkhazia regardless of ethnicity., Someone from Abkhazia regardless of ethnicity.,"<li id=""mwCA""> Someone from <a href=""Abkhazia.html"" id=""mwCQ"" title=""Abkhazia"">Abkhazia</a> regardless of ethnicity.</li>"
French,Abkhazes,Noun," m pl, f pl",plural of Abkhaze, plural of Abkhaze,"<li id=""mwBg""> <span class=""form-of-definition"" id=""mwBw"">plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""fr""><a href=""Abkhaze.html"" title=""Abkhaze"">Abkhaze</a></i></span></span></li>"
French,Abkhazie,Pronunciation,," IPA: /abkazi/,  Abkhazie  IPA: [abkazi]  ,  Rhymes: -zi"," (FR) IPA(key): /abkazi/,  Abkhazie (France) IPA(key): [abkazi]  ,  Rhymes: -zi","<li id=""mwAg""> <span class=""ib-brac"" id=""mwAw""><span class=""qualifier-brac"">(</span></span><span class=""ib-content""><span class=""qualifier-content"">FR</span></span><span class=""ib-brac"" id=""mwBA""><span class=""qualifier-brac"">)</span></span> IPA<sup>(key)</sup><span>:</span><span> </span><span class=""IPA"" lang="""">/abkazi/</span></li>, <li id=""mwBw""> Abkhazie (France) <span class=""IPA audiolink nounderlines"" id=""mwCA"" style=""white-space: nowrap;"">IPA<sup>(key)</sup>:<span> </span><span class=""IPA"" lang="""">[abkazi]</span></span><span> </span><table class=""audiotable"" style=""vertical-align: top; display:inline-block; list-style:none;line-height: 1em;""><tbody><tr><td class=""audiofile""></td></tr></tbody></table><span> </span></li>, <li id=""mwCg""> <span id=""mwCw"">Rhymes: </span><span class=""IPA"" lang="""">-zi</span></li>"
French,Abkhazie,Proper noun, f,Abkhazia, Abkhazia,"<li id=""mwEQ""> <a href=""Abkhazia.html"" id=""mwEg"" title=""Abkhazia"">Abkhazia</a></li>"
French,Abkhazie,Derived terms,,"Abkhazien,  abkhazien"," Abkhazien,  abkhazien","<li id=""mwFA""> <span class=""Latn"" id=""mwFQ"" lang=""fr""><a href=""Abkhazien.html"" title=""Abkhazien"">Abkhazien</a></span></li>, <li id=""mwFg""> <span class=""Latn"" id=""mwFw"" lang=""fr""><a href=""abkhazien.html"" title=""abkhazien"">abkhazien</a></span></li>"
French,Abkhazien,Noun," m ‎(plural Abkhaziens, feminine Abkhazienne)",A person from Abkhazia regardless of ethnicity., A person from Abkhazia regardless of ethnicity.,"<li id=""mwBg""> A person from <a href=""Abkhazia.html"" id=""mwBw"" title=""Abkhazia"">Abkhazia</a> regardless of ethnicity.</li>"
French,Abkhazienne,Noun, f ‎(plural Abkhaziennes),feminine equivalent of Abkhazien, feminine equivalent of Abkhazien,"<li id=""mwBg""> <span class=""form-of-definition"" id=""mwBw"">feminine equivalent of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""fr""><a href=""Abkhazien.html"" title=""Abkhazien"">Abkhazien</a></i></span></span></li>"
