headword_lang,head,pos,additional_pos,trans(no paren),trans(with paren),original_html
English,Q&A,Abbreviation,,Alternative spelling of Q and A, Alternative spelling of Q and A,"<li id=""mwCA""> <span class=""form-of-definition"" id=""mwCQ"">Alternative spelling of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""Q_and_A.html"" title=""Q and A"">Q and A</a></i></span></span></li>"
English,Q'anjob'al,Alternative forms,,Kanjobal, Kanjobal,"<li id=""mwAw""> <span class=""Latn"" id=""mwBA"" lang=""en""><a href=""Kanjobal.html"" title=""Kanjobal"">Kanjobal</a></span></li>"
English,Q'anjob'al,Proper noun,,A Mayan language spoken in Guatemala and part of Mexico., A Mayan language spoken in Guatemala and part of Mexico.,"<li id=""mwCQ""> A Mayan language spoken in Guatemala and part of Mexico.</li>"
English,Q's,Noun,,plural of Q, plural of Q,"<li id=""mwBg""> <span class=""form-of-definition"" id=""mwBw"">plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""Q.html"" title=""Q"">Q</a></i></span></span></li>"
English,Q's,Usage notes,,"There is some difference of opinion regarding the use of apostrophes in the pluralization of references to letters as symbols. New Fowler's Modern English Usage, after noting that the usage has changed, states on page 602 that ""after letters an apostrophe is obligatory."" The 15th edition of The Chicago Manual of Style states in paragraph 7.16, ""To avoid confusion, lowercase letters ... form the plural with an apostrophe and an s"". The Oxford Style Manual on page 116 advocates the use of common sense."," There is some difference of opinion regarding the use of apostrophes in the pluralization of references to letters as symbols. New Fowler's Modern English Usage, after noting that the usage has changed, states on page 602 that ""after letters an apostrophe is obligatory."" The 15th edition of The Chicago Manual of Style states in paragraph 7.16, ""To avoid confusion, lowercase letters ... form the plural with an apostrophe and an s"". The Oxford Style Manual on page 116 advocates the use of common sense.","<li> There is some difference of opinion regarding the use of apostrophes in the pluralization of references to letters as symbols. <i>New Fowler's Modern English Usage</i>, after noting that the usage has changed, states on page 602 that ""after letters an apostrophe is obligatory."" The 15th edition of <i>The Chicago Manual of Style</i> states in paragraph 7.16, ""To avoid confusion, lowercase letters ... form the plural with an apostrophe and an s"". The <i>Oxford Style Manual</i> on page 116 advocates the use of common sense.</li>"
English,Q'um,Proper noun,,Alternative spelling of Qom, Alternative spelling of Qom,"<li id=""mwBg""> <span class=""form-of-definition"" id=""mwBw"">Alternative spelling of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""Qom.html"" title=""Qom"">Qom</a></i></span></span></li>"
English,Q-Celtic,Proper noun,,the Goidelic language group, the Goidelic language group,"<li id=""mwBQ""> the <a href=""Goidelic.html"" id=""mwBg"" title=""Goidelic"">Goidelic</a> <a href=""language.html"" id=""mwBw"" title=""language"">language</a> group</li>"
English,Q-ball,Etymology,,"Q _—_ +_—_ ball, coined by physicist Sidney Coleman.[1]","Q _—_(_—“charge_—ù) +_—_ ball, coined by physicist Sidney Coleman.[1]","<p id=""mwAQ""><i class=""Latn mention"" id=""mwAg"" lang=""en""><a href=""Q.html"" title=""Q"">Q</a></i><span> </span><span>_—_</span><span class=""mention-gloss-paren"">(</span><span class=""mention-gloss-double-quote"">_—“</span><span class=""mention-gloss"">charge</span><span class=""mention-gloss-double-quote"">_—ù</span><span class=""mention-gloss-paren"">)</span><span> +</span><span>_—_</span><span> </span><i class=""Latn mention"" lang=""en""><a href=""ball.html"" title=""ball"">ball</a></i>, coined by physicist Sidney Coleman.<sup id=""cite_ref-1""><a href=""#cite_note-1"" style=""counter-reset: mw-Ref 1;""><span class=""mw-reflink-text"">[1]</span></a></sup></p>"
English,Q-ball,Noun, _—_(plural Q-balls),"A charged soliton that represents the lowest possible energy state of its components and is therefore stable. 2001,  Tuomas Multam’_ki,  _—“Q-ball Collisions in the MSSM_—ù, in  Strong and Electroweak Matter 2000, page 348:Q-ball collisions are studied numerically on a two dimensional lattice for a range of Q-ball charges. 2008,  Roger Ebert,  Roger Ebert's Movie Yearbook 2009, page 880:If you're going to fly inside Mercury's orbit and hurl a bomb into the sun to burst its Q-ball  into pieces, I suggest that home may require a theoretical solution. 2009,  Noah Graham, Markus Quandt and Herbert Weigel,  Specral Methods in Quantum Field Theory, page 171:A complex scalar theory in three dimensions with a cubic coupling can support classically stable, time-dependent, non-topological solutions to the equations of motion that carry a global charge Q, called Q-balls."," A charged soliton that represents the lowest possible energy state of its components and is therefore stable. 2001,  Tuomas Multam’_ki,  _—“Q-ball Collisions in the MSSM_—ù, in  Strong and Electroweak Matter 2000, page 348:Q-ball collisions are studied numerically on a two dimensional lattice for a range of Q-ball charges. 2008,  Roger Ebert,  Roger Ebert's Movie Yearbook 2009, page 880:If you're going to fly inside Mercury's orbit and hurl a bomb into the sun to burst its Q-ball (non-topological soliton) into pieces, I suggest that home may require a theoretical solution. 2009,  Noah Graham, Markus Quandt and Herbert Weigel,  Specral Methods in Quantum Field Theory, page 171:A complex scalar theory in three dimensions with a cubic coupling can support classically stable, time-dependent, non-topological solutions to the equations of motion that carry a global charge Q, called Q-balls.","<li id=""mwCA""> A <a href=""charged.html"" id=""mwCQ"" title=""charged"">charged</a> <a href=""soliton.html"" id=""mwCg"" title=""soliton"">soliton</a> that represents the lowest possible energy state of its components and is therefore stable.<ul id=""mwCw""><li id=""mwDA""> <div class=""citation-whole"" id=""mwDQ""><span class=""cited-source""><b>2001</b>,<span> </span><span> </span>Tuomas Multam’_ki,<span> </span><span> </span>_—“<b>Q-ball</b> Collisions in the MSSM_—ù, in<span> </span><span> </span><cite>Strong and Electroweak Matter 2000</cite>, page 348:</span><dl><dd><span class=""cited-passage""><b>Q-ball</b> collisions are studied numerically on a two dimensional lattice for a range of <b>Q-ball</b> charges.</span></dd></dl></div></li><li id=""mwDg""> <div class=""citation-whole"" id=""mwDw""><span class=""cited-source""><b>2008</b>,<span> </span><span> </span>Roger Ebert,<span> </span><span> </span><cite>Roger Ebert's Movie Yearbook 2009</cite>, page 880:</span><dl><dd><span class=""cited-passage"">If you're going to fly inside Mercury's orbit and hurl a bomb into the sun to burst its <b>Q-ball</b> (non-topological soliton) into pieces, I suggest that home may require a theoretical solution.</span></dd></dl></div></li><li id=""mwEA""> <div class=""citation-whole"" id=""mwEQ""><span class=""cited-source""><b>2009</b>,<span> </span><span> </span>Noah Graham, Markus Quandt and Herbert Weigel,<span> </span><span> </span><cite>Specral Methods in Quantum Field Theory</cite>, page 171:</span><dl><dd><span class=""cited-passage"">A complex scalar theory in three dimensions with a cubic coupling can support classically stable, time-dependent, non-topological solutions to the equations of motion that carry a global charge Q, called <b>Q-balls</b>.</span></dd></dl></div></li></ul></li>"
English,Q-ball,References,,"_æ•  S. Coleman , _—“Q-Balls_—ù, in Nuclear Physics B, volume 262, issue 2, Bibcode:Î_1985NuPhB.262..263C, DOI:10.1016/0550-321390286-X, page 263","_æ•  S. Coleman (1985), _—“Q-Balls_—ù, in Nuclear Physics B, volume 262, issue 2, Bibcode:Î_1985NuPhB.262..263C, DOI:10.1016/0550-3213(85)90286-X, page 263","<li id=""cite_note-1""><a href=""#cite_ref-1""><span class=""mw-linkback-text"">_æ• </span></a> <span class=""mw-reference-text"" id=""mw-reference-text-cite_note-1""><span id=""mwEw"">S. Coleman</span><span id=""mwFA""> </span><span id=""mwFQ"">(1985),</span><span id=""mwFg""> </span><span id=""mwFw"">_—“Q-Balls_—ù, in</span><span id=""mwGA""> </span><cite id=""mwGQ"">Nuclear Physics B</cite><span id=""mwGw"">, volume 262, issue 2, </span><small id=""mwHA""><a class=""external"" href=""https://en.wikipedia.org/wiki/Bibcode"" id=""mwHQ"" title=""w:Bibcode"">Bibcode</a>:<span id=""mwHg"">Î_</span><a class=""external"" href=""http://adsabs.harvard.edu/abs/1985NuPhB.262..263C"" id=""mwHw"">1985NuPhB.262..263C</a></small><span id=""mwIA"">, </span><small id=""mwIQ""><a class=""external"" href=""https://en.wikipedia.org/wiki/Digital%20object%20identifier"" id=""mwIg"" title=""w:Digital object identifier"">DOI</a>:<span class=""neverexpand"" id=""mwIw""><a class=""external"" href=""http://dx.doi.org/10.1016%2F0550-3213%2885%2990286-X"" id=""mwJA"">10.1016/0550-3213(85)90286-X</a></span></small><span id=""mwJQ"">, page 263</span></span></li>"
