headword_lang,head,pos,additional_pos,trans(no paren),trans(with paren),original_html
English,U$,Abbreviation,, United States dollar, (slang) United States dollar,"<li id=""mwBg""> <span class=""ib-brac"" id=""mwBw"">(</span><span class=""ib-content"">slang</span><span class=""ib-brac"" id=""mwCA"">)</span> <a href=""United_States.html"" id=""mwCQ"" title=""United States"">United States</a> <a href=""dollar.html"" id=""mwCg"" title=""dollar"">dollar</a></li>"
English,U$,Abbreviation,, U$ band, (title) U$ band,"<li id=""mwCw""> <span class=""ib-brac"" id=""mwDA"">(</span><span class=""ib-content"">title</span><span class=""ib-brac"" id=""mwDQ"">)</span> <a href=""U%24.html"" id=""mwDg"" title=""U$"">U$</a> <a href=""band.html"" id=""mwDw"" title=""band"">band</a></li>"
English,U$,Synonyms,,"USD,  US$,  U$"," USD,  US$,  U$","<li id=""mwEQ""> <span class=""Latn"" id=""mwEg"" lang=""en""><a href=""USD.html"" title=""USD"">USD</a></span></li>, <li id=""mwEw""> <span class=""Latn"" id=""mwFA"" lang=""en""><a href=""US%24.html"" title=""US$"">US$</a></span></li>, <li id=""mwFQ""> <span class=""Latn"" id=""mwFg"" lang=""en""><a href=""U%24.html"" title=""U$"">U$</a></span></li>"
English,U&O,Noun,mp;O â€_(plural U&amp;Os)," Use and occupancy. An official authorization or permit to inhabit a building or dwelling, usually issued upon successful completion of a final building inspection after construction and/or renovation is complete. Also referred to as a ""certificate of occupancy"" or ""occupancy permit""."," (initialism) Use and occupancy. An official authorization or permit to inhabit a building or dwelling, usually issued upon successful completion of a final building inspection after construction and/or renovation is complete. Also referred to as a ""certificate of occupancy"" or ""occupancy permit"".","<li id=""mwBg""> <span class=""ib-brac"" id=""mwBw"">(</span><span class=""ib-content""><a href=""initialism.html"" title=""initialism"">initialism</a></span><span class=""ib-brac"" id=""mwCA"">)</span> <a href=""use.html"" id=""mwCQ"" title=""use"">Use</a> and <a href=""occupancy.html"" id=""mwCg"" title=""occupancy"">occupancy</a>. An official <a href=""authorization.html"" id=""mwCw"" title=""authorization"">authorization</a> or <a href=""permit.html"" id=""mwDA"" title=""permit"">permit</a> to <a href=""inhabit.html"" id=""mwDQ"" title=""inhabit"">inhabit</a> a building or dwelling, usually issued upon successful completion of a final building inspection after construction and/or renovation is complete. Also referred to as a ""certificate of occupancy"" or ""occupancy permit"".</li>"
English,U's,Noun,,plural of U, plural of U,"<li id=""mwBg""> <span class=""form-of-definition"" id=""mwBw"">plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""U.html"" title=""U"">U</a></i></span></span></li>"
English,U's,Usage notes,,"There is some difference of opinion regarding the use of apostrophes in the pluralization of references to letters as symbols. New Fowler's Modern English Usage, after noting that the usage has changed, states on page 602 that ""after letters an apostrophe is obligatory."" The 15th edition of The Chicago Manual of Style states in paragraph 7.16, ""To avoid confusion, lowercase letters ... form the plural with an apostrophe and an s"". The Oxford Style Manual on page 116 advocates the use of common sense."," There is some difference of opinion regarding the use of apostrophes in the pluralization of references to letters as symbols. New Fowler's Modern English Usage, after noting that the usage has changed, states on page 602 that ""after letters an apostrophe is obligatory."" The 15th edition of The Chicago Manual of Style states in paragraph 7.16, ""To avoid confusion, lowercase letters ... form the plural with an apostrophe and an s"". The Oxford Style Manual on page 116 advocates the use of common sense.","<li> There is some difference of opinion regarding the use of apostrophes in the pluralization of references to letters as symbols. <i>New Fowler's Modern English Usage</i>, after noting that the usage has changed, states on page 602 that ""after letters an apostrophe is obligatory."" The 15th edition of <i>The Chicago Manual of Style</i> states in paragraph 7.16, ""To avoid confusion, lowercase letters ... form the plural with an apostrophe and an s"". The <i>Oxford Style Manual</i> on page 116 advocates the use of common sense.</li>"
Translingual,U+,Symbol,,"Indicates an hexadecimal codepoint in Unicode.
 Should we use the U+0020 SPACE or the U+3000 IDEOGRAPHIC SPACE?"," Indicates an hexadecimal codepoint in Unicode.
 Should we use the U+0020 SPACE or the U+3000 IDEOGRAPHIC SPACE?","<li id=""mwBQ""> Indicates an <a href=""hexadecimal.html"" id=""mwBg"" title=""hexadecimal"">hexadecimal</a> <a href=""codepoint.html"" id=""mwBw"" title=""codepoint"">codepoint</a> in <a href=""Unicode.html"" id=""mwCA"" title=""Unicode"">Unicode</a>.
<dl id=""mwCQ""><dd id=""mwCg""> <i id=""mwCw"">Should we use the <b id=""mwDA"">U+</b>0020 SPACE or the <b id=""mwDQ"">U+</b>3000 IDEOGRAPHIC SPACE?</i></dd></dl></li>"
English,U-235,Etymology,,U the elemental symbol for uranium + 235 the atomic mass of this isotope.,U the elemental symbol for uranium + 235 the atomic mass of this isotope.,"<p id=""mwBA""><a href=""U.html"" id=""mwBQ"" title=""U"">U</a> <i id=""mwBg"">the <a href=""elemental.html"" id=""mwBw"" title=""elemental"">elemental</a> symbol for <a href=""uranium.html"" id=""mwCA"" title=""uranium"">uranium</a></i> + 235 <i id=""mwCQ"">the <a href=""atomic_mass.html"" id=""mwCg"" title=""atomic mass"">atomic mass</a> of this <a href=""isotope.html"" id=""mwCw"" title=""isotope"">isotope</a></i>.</p>"
English,U-235,Noun, â€_(uncountable),Abbreviation of uranium-235., Abbreviation of uranium-235.,"<li id=""mwEA""> Abbreviation of <a href=""uranium-235.html"" id=""mwEQ"" title=""uranium-235"">uranium-235</a>.</li>"
German,U-Ausschuss,Pronunciation,,"IPA: /ËˆuËêËŒÊ”aÊ_Ì¯sÊƒÊ_s/,  Hyphenation: U-Ausâ€§schuss"," IPA(key): /ËˆuËêËŒÊ”aÊ_Ì¯sÊƒÊ_s/,  Hyphenation: U-Ausâ€§schuss","<li id=""mwAw""> IPA<sup>(key)</sup><span>:</span><span> </span><span class=""IPA"" lang="""">/ËˆuËêËŒÊ”aÊ_Ì¯sÊƒÊ_s/</span></li>, <li id=""mwBg""> <span id=""mwBw"">Hyphenation: </span><span class=""Latn"" id=""mwCA"" lang=""de"">U-Ausâ€§schuss</span></li>"
