headword_lang,head,pos,additional_pos,trans(no paren),trans(with paren),original_html
English,X's,Noun,,plural of X, plural of X,"<li id=""mwBg""> <span class=""form-of-definition"" id=""mwBw"">plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""X.html"" title=""X"">X</a></i></span></span></li>"
English,X's,Usage notes,,"There is some difference of opinion regarding the use of apostrophes in the pluralization of references to letters as symbols. New Fowler's Modern English Usage, after noting that the usage has changed, states on page 602 that ""after letters an apostrophe is obligatory."" The 15th edition of The Chicago Manual of Style states in paragraph 7.16, ""To avoid confusion, lowercase letters ... form the plural with an apostrophe and an s"". The Oxford Style Manual on page 116 advocates the use of common sense."," There is some difference of opinion regarding the use of apostrophes in the pluralization of references to letters as symbols. New Fowler's Modern English Usage, after noting that the usage has changed, states on page 602 that ""after letters an apostrophe is obligatory."" The 15th edition of The Chicago Manual of Style states in paragraph 7.16, ""To avoid confusion, lowercase letters ... form the plural with an apostrophe and an s"". The Oxford Style Manual on page 116 advocates the use of common sense.","<li> There is some difference of opinion regarding the use of apostrophes in the pluralization of references to letters as symbols. <i>New Fowler's Modern English Usage</i>, after noting that the usage has changed, states on page 602 that ""after letters an apostrophe is obligatory."" The 15th edition of <i>The Chicago Manual of Style</i> states in paragraph 7.16, ""To avoid confusion, lowercase letters ... form the plural with an apostrophe and an s"". The <i>Oxford Style Manual</i> on page 116 advocates the use of common sense.</li>"
English,X's and O's,Etymology,,Derived from the use of the letters X and O as common stand-ins for other concepts.,Derived from the use of the letters X and O as common stand-ins for other concepts.,"<p id=""mwAQ"">Derived from the use of the letters <a href=""X.html"" id=""mwAg"" title=""X"">X</a> and <a href=""O.html"" id=""mwAw"" title=""O"">O</a> as common stand-ins for other concepts.</p>"
English,X's and O's,Noun,åÊpl ‰Û_(plural only),tic-tac-toe, tic-tac-toe,"<li id=""mwCA""> <a href=""tic-tac-toe.html"" id=""mwCQ"" title=""tic-tac-toe"">tic-tac-toe</a></li>"
English,X's and O's,Noun,åÊpl ‰Û_(plural only)," The fundamental elements of a play. 2006, Jerry Krause and Ralph Pim, Basketball Beyond the X's And O's: Lessons from the Legends"," (idiomatic, sports) The fundamental elements of a play. 2006, Jerry Krause and Ralph Pim, Basketball Beyond the X's And O's: Lessons from the Legends","<li id=""mwCg""> <span class=""ib-brac"" id=""mwCw"">(</span><span class=""ib-content"">idiomatic<span class=""ib-comma"">,</span><span> </span>sports</span><span class=""ib-brac"" id=""mwDA"">)</span> The fundamental elements of a <a href=""play.html"" id=""mwDQ"" title=""play"">play</a>.<ul id=""mwDg""><li id=""mwDw""> <b id=""mwEA"">2006</b>, Jerry Krause and Ralph Pim, <i id=""mwEQ"">Basketball Beyond the <b id=""mwEg"">X's And O's</b>: Lessons from the Legends</i></li></ul></li>"
English,X's and O's,Noun,åÊpl ‰Û_(plural only), The basic delineation of roles in a project.," (idiomatic, management) The basic delineation of roles in a project.","<li id=""mwEw""> <span class=""ib-brac"" id=""mwFA"">(</span><span class=""ib-content"">idiomatic<span class=""ib-comma"">,</span><span> </span>management</span><span class=""ib-brac"" id=""mwFQ"">)</span> The basic delineation of roles in a project.</li>"
English,X's and O's,Noun,åÊpl ‰Û_(plural only),"Abbreviation of kisses and hugs. The college co-ed signed her letter to her mother with X's and O's."," Abbreviation of kisses and hugs. The college co-ed signed her letter to her mother with X's and O's.","<li id=""mwGg""> <span class=""use-with-mention"" id=""mwGw"">Abbreviation of <i class=""Latn mention"" lang=""en""><a href=""kiss.html"" title=""kiss"">kisses</a> and <a href=""hug.html"" title=""hug"">hugs</a></i></span><span>.</span><dl id=""mwHQ""><dd id=""mwHg""> <i id=""mwHw"">The college co-ed signed her letter to her mother with <b id=""mwIA"">X's and O's</b>.</i></dd></dl></li>"
Esperanto,X-,Abbreviation,," Abbreviation of eks-. eksamiko ‰ Õ Xamik [-o often dropped as well]"," (text messaging) Abbreviation of eks-. eksamiko ‰ Õ Xamik [-o often dropped as well]","<li id=""mwBQ""> <span class=""ib-brac"" id=""mwBg"">(</span><span class=""ib-content""><a href=""text_messaging.html"" title=""text messaging"">text messaging</a></span><span class=""ib-brac"" id=""mwBw"">)</span> <span class=""use-with-mention"" id=""mwCA"">Abbreviation of <i class=""Latn mention"" lang=""eo""><a href=""eks-.html"" title=""eks-"">eks-</a></i></span><span>.</span><dl id=""mwCg""><dd id=""mwCw""> <span class=""Latn"" id=""mwDA"" lang=""eo"">eksamiko</span> ‰ Õ <i id=""mwDQ"">Xamik</i> [<span id=""mwDg""><i class=""Latn mention"" id=""mwDw"" lang=""eo""><a href=""-o.html"" id=""mwEA"" title=""-o"">-o</a></i></span> often dropped as well]</dd></dl></li>"
English,X-Acto,Etymology,,"Trademark, 1920s.","Trademark, 1920s.","<p id=""mwAw"">Trademark, 1920s.</p>"
English,X-Acto,Proper noun,,"A utility knife, usually with a short, sharp, disposable blade mounted on a pen-like body, usually for crafts and hobbies; an X-Acto knife."," A utility knife, usually with a short, sharp, disposable blade mounted on a pen-like body, usually for crafts and hobbies; an X-Acto knife.","<li id=""mwCQ""> A <a href=""utility_knife.html"" id=""mwCg"" title=""utility knife"">utility knife</a>, usually with a short, sharp, <a href=""disposable.html"" id=""mwCw"" title=""disposable"">disposable</a> blade mounted on a pen-like body, usually for <a href=""craft.html"" id=""mwDA"" title=""craft"">crafts</a> and <a href=""hobby.html"" id=""mwDQ"" title=""hobby"">hobbies</a>; an <i id=""mwDg"">X-Acto knife</i>.</li>"
