headword_lang,head,pos,additional_pos,trans(no paren),trans(with paren),original_html
English,Y's,Noun,,plural of Y, plural of Y,"<li id=""mwBg""> <span class=""form-of-definition"" id=""mwBw"">plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""Y.html"" title=""Y"">Y</a></i></span></span></li>"
English,Y's,Usage notes,,"There is some difference of opinion regarding the use of apostrophes in the pluralization of references to letters as symbols. New Fowler's Modern English Usage, after noting that the usage has changed, states on page 602 that ""after letters an apostrophe is obligatory."" The 15th edition of The Chicago Manual of Style states in paragraph 7.16, ""To avoid confusion, lowercase letters ... form the plural with an apostrophe and an s"". The Oxford Style Manual on page 116 advocates the use of common sense."," There is some difference of opinion regarding the use of apostrophes in the pluralization of references to letters as symbols. New Fowler's Modern English Usage, after noting that the usage has changed, states on page 602 that ""after letters an apostrophe is obligatory."" The 15th edition of The Chicago Manual of Style states in paragraph 7.16, ""To avoid confusion, lowercase letters ... form the plural with an apostrophe and an s"". The Oxford Style Manual on page 116 advocates the use of common sense.","<li> There is some difference of opinion regarding the use of apostrophes in the pluralization of references to letters as symbols. <i>New Fowler's Modern English Usage</i>, after noting that the usage has changed, states on page 602 that ""after letters an apostrophe is obligatory."" The 15th edition of <i>The Chicago Manual of Style</i> states in paragraph 7.16, ""To avoid confusion, lowercase letters ... form the plural with an apostrophe and an s"". The <i>Oxford Style Manual</i> on page 116 advocates the use of common sense.</li>"
Rade,Y-Adam,Etymology,,Y- â€_ +â€_ Adam â€_,Y- â€_(male name prefix) +â€_ Adam â€_(from French Adam),"<p id=""mwAQ""><i class=""Latn mention"" id=""mwAg"" lang=""rad"">Y-</i><span> </span><span>â€_</span><span class=""mention-gloss-paren"">(</span><span>male name prefix</span><span class=""mention-gloss-paren"">)</span><span> +</span><span>â€_</span><span> </span><i class=""Latn mention"" lang=""rad""><a href=""Adam.html"" title=""Adam"">Adam</a></i><span> </span><span>â€_</span><span class=""mention-gloss-paren"">(</span><span>from </span><span class=""etylcleanup""><span class=""etyl""><a class=""external"" href=""https://en.wikipedia.org/wiki/French%20language"" title=""w:French language"">French</a></span></span><span> </span><i class=""Latn mention"" lang=""fr""><a href=""Adam.html"" title=""Adam"">Adam</a></i><span class=""mention-gloss-paren"">)</span></p>"
Rade,Y-Adam,Proper noun,,A male given name, A male given name,"<li id=""mwCA""> <span class=""use-with-mention"" id=""mwCQ"">A male <a href=""given_name.html"" title=""given name"">given name</a></span></li>"
Rade,Y-DÄƒwit,Etymology,,Y- â€_ +â€_ DÄƒwit â€_,Y- â€_(male name prefix) +â€_ DÄƒwit â€_(French David or Portuguese David),"<p id=""mwAQ""><i class=""Latn mention"" id=""mwAg"" lang=""rad"">Y-</i><span> </span><span>â€_</span><span class=""mention-gloss-paren"">(</span><span>male name prefix</span><span class=""mention-gloss-paren"">)</span><span> +</span><span>â€_</span><span> </span><i class=""Latn mention"" lang=""rad"">DÄƒwit</i><span> </span><span>â€_</span><span class=""mention-gloss-paren"">(</span><span class=""etylcleanup""><span class=""etyl""><a class=""external"" href=""https://en.wikipedia.org/wiki/French%20language"" title=""w:French language"">French</a></span></span><span> </span><i class=""Latn mention"" lang=""fr""><a href=""David.html"" title=""David"">David</a></i><span> or </span><span class=""etylcleanup""><span class=""etyl""><a class=""external"" href=""https://en.wikipedia.org/wiki/Portuguese%20language"" title=""w:Portuguese language"">Portuguese</a></span></span><span> </span><i class=""Latn mention"" lang=""pt""><a href=""David.html"" title=""David"">David</a></i><span class=""mention-gloss-paren"">)</span></p>"
Rade,Y-DÄƒwit,Proper noun,,A male given name, A male given name,"<li id=""mwCA""> <span class=""use-with-mention"" id=""mwCQ"">A male <a href=""given_name.html"" title=""given name"">given name</a></span></li>"
German,Y-Reisen,Etymology,,From the fact German army vehicles have a Y as the sole letter of the license plate code.,From the fact German army vehicles have a Y as the sole letter of the license plate code.,"<p id=""mwAQ"">From the fact German army vehicles have a Y as the sole letter of the license plate code.</p>"
German,Y-Reisen,Noun, â€_(plural only), The Bundeswehr., (slang) The Bundeswehr.,"<li id=""mwBg""> <span class=""ib-brac"" id=""mwBw"">(</span><span class=""ib-content"">slang</span><span class=""ib-brac"" id=""mwCA"">)</span> The <a href=""Bundeswehr.html"" id=""mwCQ"" title=""Bundeswehr"">Bundeswehr</a>.</li>"
English,Y-chromosome,Noun, â€_(plural Y-chromosomes), Alternative spelling of Y chromosome, (genetics) Alternative spelling of Y chromosome,"<li id=""mwBg""> <span class=""ib-brac"" id=""mwBw"">(</span><span class=""ib-content"">genetics</span><span class=""ib-brac"" id=""mwCA"">)</span> <span class=""form-of-definition"" id=""mwCQ"">Alternative spelling of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""Y_chromosome.html"" title=""Y chromosome"">Y chromosome</a></i></span></span></li>"
English,Y-chromosomes,Noun,,plural of Y-chromosome, plural of Y-chromosome,"<li id=""mwBg""> <span class=""form-of-definition"" id=""mwBw"">plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""Y-chromosome.html"" title=""Y-chromosome"">Y-chromosome</a></i></span></span></li>"
