headword_lang,head,pos,additional_pos,trans(no paren),trans(with paren),original_html
English,Z's,Noun,,plural of Z, plural of Z,"<li id=""mwBg""> <span class=""form-of-definition"" id=""mwBw"">plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""Z.html"" title=""Z"">Z</a></i></span></span></li>"
English,Z's,Noun,,Alternative letter-case form of z's ., Alternative letter-case form of z's (sleep).,"<li id=""mwCA""> <span class=""form-of-definition"" id=""mwCQ"">Alternative <a href=""letter_case.html"" title=""letter case"">letter-case</a> form of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""z's.html"" title=""z's"">z's</a></i></span></span> <span class=""gloss-brac"" id=""mwCg"">(</span><span class=""gloss-content"">sleep</span><span class=""gloss-brac"" id=""mwCw"">)</span>.</li>"
English,Z's,Usage notes,,"There is some difference of opinion regarding the use of apostrophes in the pluralization of references to letters as symbols. New Fowler's Modern English Usage, after noting that the usage has changed, states on page 602 that ""after letters an apostrophe is obligatory."" The 15th edition of The Chicago Manual of Style states in paragraph 7.16, ""To avoid confusion, lowercase letters ... form the plural with an apostrophe and an s"". The Oxford Style Manual on page 116 advocates the use of common sense."," There is some difference of opinion regarding the use of apostrophes in the pluralization of references to letters as symbols. New Fowler's Modern English Usage, after noting that the usage has changed, states on page 602 that ""after letters an apostrophe is obligatory."" The 15th edition of The Chicago Manual of Style states in paragraph 7.16, ""To avoid confusion, lowercase letters ... form the plural with an apostrophe and an s"". The Oxford Style Manual on page 116 advocates the use of common sense.","<li> There is some difference of opinion regarding the use of apostrophes in the pluralization of references to letters as symbols. <i>New Fowler's Modern English Usage</i>, after noting that the usage has changed, states on page 602 that ""after letters an apostrophe is obligatory."" The 15th edition of <i>The Chicago Manual of Style</i> states in paragraph 7.16, ""To avoid confusion, lowercase letters ... form the plural with an apostrophe and an s"". The <i>Oxford Style Manual</i> on page 116 advocates the use of common sense.</li>"
English,Z-boson,Alternative forms,,Z boson, Z boson,"<li id=""mwAw""> <span class=""Latn"" id=""mwBA"" lang=""en""><a href=""Z_boson.html"" title=""Z boson"">Z boson</a></span></li>"
English,Z-boson,Noun, ‰Û_(plural Z-bosons)," a fundamental particle, a gauge boson, that, together with the W-boson, mediates the weak nuclear force; it has a charge of 0"," (physics) a fundamental particle, a gauge boson, that, together with the W-boson, mediates the weak nuclear force; it has a charge of 0","<li id=""mwCg""> <span class=""ib-brac"" id=""mwCw"">(</span><span class=""ib-content"">physics</span><span class=""ib-brac"" id=""mwDA"">)</span> a <a href=""fundamental_particle.html"" id=""mwDQ"" title=""fundamental particle"">fundamental particle</a>, a <a href=""gauge_boson.html"" id=""mwDg"" title=""gauge boson"">gauge boson</a>, that, together with the <a href=""W-boson.html"" id=""mwDw"" title=""W-boson"">W-boson</a>, mediates the <a href=""weak_nuclear_force.html"" id=""mwEA"" title=""weak nuclear force"">weak nuclear force</a>; it has a <a href=""charge.html"" id=""mwEQ"" title=""charge"">charge</a> of 0</li>"
Swedish,Z-bosonen,Noun,,"definite singular of Z-boson
"," definite singular of Z-boson
","<li id=""mwBQ""> <span class=""use-with-mention"" id=""mwBg"">definite singular of <span class=""mention""><a href=""Z-boson.html"" title=""Z-boson"">Z-boson</a></span></span><span>
</span></li>"
Swedish,Z-bosonens,Noun,,"definite genitive singular of Z-boson
"," definite genitive singular of Z-boson
","<li id=""mwBQ""> <span class=""use-with-mention"" id=""mwBg"">definite genitive singular of <span class=""mention""><a href=""Z-boson.html"" title=""Z-boson"">Z-boson</a></span></span><span>
</span></li>"
Swedish,Z-bosoner,Noun,,"indefinite plural of Z-boson
"," indefinite plural of Z-boson
","<li id=""mwBQ""> <span class=""use-with-mention"" id=""mwBg"">indefinite plural of <span class=""mention""><a href=""Z-boson.html"" title=""Z-boson"">Z-boson</a></span></span><span>
</span></li>"
Swedish,Z-bosonerna,Noun,," definite plural of Z-boson
","  definite plural of Z-boson
","<li id=""mwBw""> <span class=""use-with-mention"" id=""mwCA""> definite plural of <span class=""mention""><a href=""Z-boson.html"" title=""Z-boson"">Z-boson</a></span></span><span>
</span></li>"
Swedish,Z-bosonernas,Noun,,"definite genitive plural of  Z-boson
"," definite genitive plural of  Z-boson
","<li id=""mwBQ""> <span class=""use-with-mention"" id=""mwBg"">definite genitive plural of  <span class=""mention""><a href=""Z-boson.html"" title=""Z-boson"">Z-boson</a></span></span><span>
</span></li>"
Swedish,Z-bosoners,Noun,,"indefinite genitive plural of  Z-boson
"," indefinite genitive plural of  Z-boson
","<li id=""mwBQ""> <span class=""use-with-mention"" id=""mwBg"">indefinite genitive plural of  <span class=""mention""><a href=""Z-boson.html"" title=""Z-boson"">Z-boson</a></span></span><span>
</span></li>"
