headword_lang,head,pos,additional_pos,trans(no paren),trans(with paren),original_html
Italian,A.C.I.,Initialism,,Automobile Club d'Italia, Automobile Club d'Italia,"<li id=""mwBw""> <a class=""external"" href=""https://en.wikipedia.org/wiki/it:Automobile%20Club%20d'Italia"" id=""mwCA"" title=""w:it:Automobile Club d'Italia"">Automobile Club d'Italia</a></li>"
Italian,ANAS,Proper noun, f,Acronym of Azienda Nazionale Autonoma delle Strade., Acronym of Azienda Nazionale Autonoma delle Strade.,"<li id=""mwBw""> <span class=""use-with-mention"" id=""mwCA"">Acronym of <i class=""Latn mention"" lang=""it""><a class=""external"" href=""https://en.wikipedia.org/wiki/it:Azienda%20Nazionale%20Autonoma%20delle%20Strade"" title=""wikipedia:it:Azienda Nazionale Autonoma delle Strade"">Azienda Nazionale Autonoma delle Strade</a></i></span><span>.</span></li>"
Italian,ANCA,Proper noun, ?,Associazione Nazionale Cooperative Agricole, Associazione Nazionale Cooperative Agricole,"<li id=""mwBg""> <a class=""external"" href=""https://en.wikipedia.org/wiki/Associazione%20Nazionale%20Cooperative%20Agricole"" id=""mwBw"" title=""w:Associazione Nazionale Cooperative Agricole"">Associazione Nazionale Cooperative Agricole</a></li>"
Italian,ASST,Proper noun, ?,Initialism of Azienda di Stato per i servizi telefonici., Initialism of Azienda di Stato per i servizi telefonici.,"<li id=""mwBg""> <span class=""use-with-mention"" id=""mwBw"">Initialism of <i class=""Latn mention"" lang=""it""><a class=""external"" href=""https://en.wikipedia.org/wiki/it:Azienda%20di%20Stato%20per%20i%20servizi%20telefonici"" title=""wikipedia:it:Azienda di Stato per i servizi telefonici"">Azienda di Stato per i servizi telefonici</a></i></span><span>.</span></li>"
Italian,Abacuc,Proper noun, m,Habakkuk, Habakkuk,"<li id=""mwBg""> <a href=""Habakkuk.html"" id=""mwBw"" title=""Habakkuk"">Habakkuk</a></li>"
Italian,Abacucco,Proper noun, m,Alternative form of Abacuc, Alternative form of Abacuc,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">Alternative form of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""it""><a href=""Abacuc.html"" title=""Abacuc"">Abacuc</a></i></span></span></li>"
Italian,Abano Terme,Proper noun, ?,A town in the province of Padova in the Veneto, A town in the province of Padova in the Veneto,"<li id=""mwBg""> A <a href=""town.html"" id=""mwBw"" title=""town"">town</a> in the province of <a href=""Padova.html"" id=""mwCA"" title=""Padova"">Padova</a> in the <a href=""Veneto.html"" id=""mwCQ"" title=""Veneto"">Veneto</a></li>"
Italian,Abano Terme,Related terms,,aponense, aponense,"<li id=""mwCw""> <span class=""Latn"" id=""mwDA"" lang=""it""><a href=""aponense.html"" title=""aponense"">aponense</a></span></li>"
Italian,Abatantuono,Proper noun, ?,A  surname​., A  surname​.,"<li id=""mwBQ""> <span class=""use-with-mention"" id=""mwBg"">A  <a href=""surname.html"" title=""surname"">surname</a><span>​</span>.</span></li>"
Italian,Abatantuono,Proper noun, ?,"Diego Abatantuono, Italian actor"," Diego Abatantuono, Italian actor","<li id=""mwCA""> <a class=""external"" href=""https://en.wikipedia.org/wiki/it:Diego%20Abatantuono"" id=""mwCQ"" title=""w:it:Diego Abatantuono"">Diego Abatantuono</a>, Italian actor</li>"
