headword_lang,head,pos,additional_pos,trans(no paren),trans(with paren),original_html
Portuguese,ADNc,Noun, m (plural ADNc), Initialism of ADN complementar. cDNA, (genetics) Initialism of ADN complementar. cDNA,"<li id=""mwBA""> <span class=""ib-brac"" id=""mwBQ"">(</span><span class=""ib-content"">genetics</span><span class=""ib-brac"" id=""mwBg"">)</span> <span class=""use-with-mention"" id=""mwBw"">Initialism of <i class=""Latn mention"" lang=""pt"">ADN complementar</i></span><span>.</span> <span class=""Latn"" id=""mwCQ"" lang=""en""><a href=""cDNA.html"" title=""cDNA"">cDNA</a></span></li>"
Portuguese,AEB,Proper noun, f,"Initialism of Agência Espacial Brasileira, the Brazilian Space Agency"," Initialism of Agência Espacial Brasileira, the Brazilian Space Agency","<li id=""mwBg""> <span class=""use-with-mention"" id=""mwBw"">Initialism of <i class=""Latn mention"" lang=""pt""><a class=""external"" href=""https://en.wikipedia.org/wiki/Agência%20Espacial%20Brasileira"" title=""wikipedia:Agência Espacial Brasileira"">Agência Espacial Brasileira</a></i></span>, the Brazilian Space Agency</li>"
Portuguese,AI-5,Etymology,,Initialism of Ato Institucional Número Cinco ‎.,Initialism of Ato Institucional Número Cinco ‎(“Institutional Act Number Five”).,"<p id=""mwAQ""><span class=""use-with-mention"" id=""mwAg"">Initialism of <i class=""Latn mention"" lang=""pt""><a href=""ato.html"" title=""ato"">Ato</a> <a href=""institucional.html"" title=""institucional"">Institucional</a> <a href=""n%C3%BAmero.html"" title=""número"">Número</a> <a href=""cinco.html"" title=""cinco"">Cinco</a></i> <span>‎</span><span class=""mention-gloss-paren"">(</span><span class=""mention-gloss-double-quote"">“</span><span class=""mention-gloss"">Institutional Act Number Five</span><span class=""mention-gloss-double-quote"">”</span><span class=""mention-gloss-paren"">)</span></span><span>.</span></p>"
Portuguese,AI-5,Proper noun, m,"A major decree  issued by the military dictatorship  in Brazil, which overruled the Constitution and included institutionalizing censorship of the media, forfeiting the mandates of some politicians and some people's right to vote."," A major decree (which lasted during: 1968–1978) issued by the military dictatorship (1964–1985) in Brazil, which overruled the Constitution and included institutionalizing censorship of the media, forfeiting the mandates of some politicians and some people's right to vote.","<li id=""mwCA""> A major <a href=""decree.html"" id=""mwCQ"" title=""decree"">decree</a> (which lasted during: 1968–1978) issued by the <a class=""external"" href=""https://en.wikipedia.org/wiki/Brazilian%20military%20government"" id=""mwCg"" title=""w:Brazilian military government"">military dictatorship</a> (1964–1985) in <a href=""Brazil.html"" id=""mwCw"" title=""Brazil"">Brazil</a>, which overruled the <a href=""Constitution.html"" id=""mwDA"" title=""Constitution"">Constitution</a> and included institutionalizing <a href=""censorship.html"" id=""mwDQ"" title=""censorship"">censorship</a> of the <a href=""media.html"" id=""mwDg"" title=""media"">media</a>, forfeiting the <a href=""mandate.html"" id=""mwDw"" title=""mandate"">mandates</a> of some <a href=""politician.html"" id=""mwEA"" title=""politician"">politicians</a> and some <a href=""person.html"" id=""mwEQ"" title=""person"">people</a>'s right to <a href=""vote.html"" id=""mwEg"" title=""vote"">vote</a>.</li>"
Portuguese,AI-5,External links,," AI-5 on  Wikipedia.Wikipedia ,   Ato Institucional Número Cinco on the Portuguese  Wikipedia.Wikipedia pt,   Ato Institucional Número Cinco on the Portuguese Wikisource.pt.Wikisource:Ato Institucional Número Cinco","  AI-5 on  Wikipedia.Wikipedia ,   Ato Institucional Número Cinco on the Portuguese  Wikipedia.Wikipedia pt,   Ato Institucional Número Cinco on the Portuguese Wikisource.pt.Wikisource:Ato Institucional Número Cinco","<li id=""mwGQ""> <span> </span><b class=""Latn"" lang=""en""><a class=""external"" href=""https://en.wikipedia.org/wiki/AI-5"" title=""w:AI-5"">AI-5</a></b><span> on  Wikipedia.</span><span class=""interProject"" id=""mwGw""><a class=""external"" href=""https://en.wikipedia.org/wiki/AI-5"" title=""w:AI-5"">Wikipedia </a></span></li>, <li id=""mwHA""> <span> </span><b class=""Latn"" lang=""pt""><a class=""external"" href=""https://en.wikipedia.org/wiki/pt:Ato%20Institucional%20Número%20Cinco"" title=""w:pt:Ato Institucional Número Cinco"">Ato Institucional Número Cinco</a></b><span> on the Portuguese  Wikipedia.</span><span class=""interProject"" id=""mwHg""><a class=""external"" href=""https://en.wikipedia.org/wiki/pt:Ato%20Institucional%20Número%20Cinco"" title=""w:pt:Ato Institucional Número Cinco"">Wikipedia <sup>pt</sup></a></span></li>, <li id=""mwHw""> <span> </span><b class=""Latn"" lang=""pt""><a class=""external"" href=""https://en.wikisource.org/wiki/pt:Ato%20Institucional%20Número%20Cinco"" title=""s:pt:Ato Institucional Número Cinco"">Ato Institucional Número Cinco</a></b><span> on the Portuguese Wikisource.</span><span class=""interProject"" id=""mwIQ""><a class=""external"" href=""https://en.wikisource.org/wiki/pt:Ato%20Institucional%20Número%20Cinco"" title=""s:pt:Ato Institucional Número Cinco"">pt.Wikisource<meta>:Ato Institucional Número Cinco</meta></a></span></li>"
Portuguese,ALERJ,Proper noun, f,Acronym of Assembleia Legislativa do Estado do Rio de Janeiro ‎., Acronym of Assembleia Legislativa do Estado do Rio de Janeiro ‎(“Legislative Assembly of Rio de Janeiro”).,"<li id=""mwBQ""> <span class=""use-with-mention"" id=""mwBg"">Acronym of <i class=""Latn mention"" lang=""pt""><a class=""external"" href=""https://en.wikipedia.org/wiki/Assembleia%20Legislativa%20do%20Estado%20do%20Rio%20de%20Janeiro"" title=""w:Assembleia Legislativa do Estado do Rio de Janeiro"">Assembleia Legislativa do Estado do Rio de Janeiro</a></i> <span>‎</span><span class=""mention-gloss-paren"">(</span><span class=""mention-gloss-double-quote"">“</span><span class=""mention-gloss"">Legislative Assembly of Rio de Janeiro</span><span class=""mention-gloss-double-quote"">”</span><span class=""mention-gloss-paren"">)</span></span><span>.</span></li>"
Portuguese,ALERJ,External links,," Legislative Assembly of Rio de Janeiro on  Wikipedia.Wikipedia ,   Assembleia Legislativa do Estado do Rio de Janeiro on the Portuguese  Wikipedia.Wikipedia pt","  Legislative Assembly of Rio de Janeiro on  Wikipedia.Wikipedia ,   Assembleia Legislativa do Estado do Rio de Janeiro on the Portuguese  Wikipedia.Wikipedia pt","<li id=""mwCQ""> <span> </span><b class=""Latn"" lang=""en""><a class=""external"" href=""https://en.wikipedia.org/wiki/Legislative%20Assembly%20of%20Rio%20de%20Janeiro"" title=""w:Legislative Assembly of Rio de Janeiro"">Legislative Assembly of Rio de Janeiro</a></b><span> on  Wikipedia.</span><span class=""interProject"" id=""mwCw""><a class=""external"" href=""https://en.wikipedia.org/wiki/Legislative%20Assembly%20of%20Rio%20de%20Janeiro"" title=""w:Legislative Assembly of Rio de Janeiro"">Wikipedia </a></span></li>, <li id=""mwDA""> <span> </span><b class=""Latn"" lang=""pt""><a class=""external"" href=""https://en.wikipedia.org/wiki/pt:Assembleia%20Legislativa%20do%20Estado%20do%20Rio%20de%20Janeiro"" title=""w:pt:Assembleia Legislativa do Estado do Rio de Janeiro"">Assembleia Legislativa do Estado do Rio de Janeiro</a></b><span> on the Portuguese  Wikipedia.</span><span class=""interProject"" id=""mwDg""><a class=""external"" href=""https://en.wikipedia.org/wiki/pt:Assembleia%20Legislativa%20do%20Estado%20do%20Rio%20de%20Janeiro"" title=""w:pt:Assembleia Legislativa do Estado do Rio de Janeiro"">Wikipedia <sup>pt</sup></a></span></li>"
Portuguese,ALUPEC,Alternative forms,,ALUPEK, ALUPEK,"<li id=""mwAg""> <span class=""Latn"" id=""mwAw"" lang=""pt""><a href=""ALUPEK.html"" title=""ALUPEK"">ALUPEK</a></span></li>"
Portuguese,ALUPEC,Proper noun, m,"Initialism of alfabeto unificado para a escrita do cabo-verdiano, an orthography standard for Cape Verdean Creole"," Initialism of alfabeto unificado para a escrita do cabo-verdiano, an orthography standard for Cape Verdean Creole","<li id=""mwCA""> <span class=""use-with-mention"" id=""mwCQ"">Initialism of <i class=""Latn mention"" lang=""pt""><a href=""alfabeto.html"" title=""alfabeto"">alfabeto</a> <a href=""unificado.html"" title=""unificado"">unificado</a> <a href=""para.html"" title=""para"">para</a> <a href=""a.html"" title=""a"">a</a> <a href=""escrita.html"" title=""escrita"">escrita</a> <a href=""do.html"" title=""do"">do</a> <a href=""cabo-verdiano.html"" title=""cabo-verdiano"">cabo-verdiano</a></i></span>, an orthography standard for <span class=""Latn"" id=""mwCw"" lang=""en""><a href=""Cape_Verdean_Creole.html"" title=""Cape Verdean Creole"">Cape Verdean Creole</a></span></li>"
Portuguese,ALUPEK,Proper noun, m,Alternative form of ALUPEC, Alternative form of ALUPEC,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">Alternative form of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""pt""><a href=""ALUPEC.html"" title=""ALUPEC"">ALUPEC</a></i></span></span></li>"
