headword_lang,head,pos,additional_pos,trans(no paren),trans(with paren),original_html
Spanish,A.T.,Proper noun, m,Initialism of Antiguo Testamento. OT , Initialism of Antiguo Testamento. OT (Old Testament),"<li id=""mwBQ""> <span class=""use-with-mention"" id=""mwBg"">Initialism of <i class=""Latn mention"" lang=""es""><a href=""Antiguo_Testamento.html"" title=""Antiguo Testamento"">Antiguo Testamento</a></i></span><span>.</span> <a href=""OT.html"" id=""mwCA"" title=""OT"">OT</a> (Old Testament)</li>"
Spanish,ADE,Etymology,,Initialism of administración y dirección de empresas,Initialism of administración y dirección de empresas,"<p id=""mwAg"">Initialism of <i id=""mwAw""><span class=""Latn"" id=""mwBA"" lang=""es""><a href=""administraci%C3%B3n.html"" title=""administración"">administración</a></span> <span class=""Latn"" id=""mwBQ"" lang=""es""><a href=""y.html"" title=""y"">y</a></span> <span class=""Latn"" id=""mwBg"" lang=""es""><a href=""direcci%C3%B3n.html"" title=""dirección"">dirección</a></span> <span class=""Latn"" id=""mwBw"" lang=""es""><a href=""de.html"" title=""de"">de</a></span> <span class=""Latn"" id=""mwCA"" lang=""es""><a href=""empresas.html"" title=""empresas"">empresas</a></span></i></p>"
Spanish,ADE,Noun, f ‎(uncountable),business administration , business administration (subject),"<li id=""mwDQ""> <a href=""business.html"" id=""mwDg"" title=""business"">business</a> <a href=""administration.html"" id=""mwDw"" title=""administration"">administration</a> <span class=""gloss-brac"" id=""mwEA"">(</span><span class=""gloss-content"">subject</span><span class=""gloss-brac"" id=""mwEQ"">)</span></li>"
Spanish,ADIF,Etymology,,Shortened form of Administrador de Infraestructuras Ferroviarias,Shortened form of Administrador de Infraestructuras Ferroviarias,"<p id=""mwAQ"">Shortened form of <i id=""mwAg"">Administrador de Infraestructuras Ferroviarias</i></p>"
Spanish,ADIF,Proper noun, ‎(Administrador de Infraestructuras Ferroviarias),A state-owned company that is responsible for the upkeep of most of Spain's rail network., A state-owned company that is responsible for the upkeep of most of Spain's rail network.,"<li id=""mwBw""> A state-owned company that is responsible for the upkeep of most of Spain's rail network.</li>"
Spanish,ALDF,Abbreviation,,"Initialism of Asamblea Legislativa del Distrito Federal.
 Legislative Assembly of the Federal District"," Initialism of Asamblea Legislativa del Distrito Federal.
 Legislative Assembly of the Federal District","<li id=""mwBQ""> <span class=""use-with-mention"" id=""mwBg"">Initialism of <i class=""Latn mention"" lang=""es""><a class=""external"" href=""https://en.wikipedia.org/wiki/es:Asamblea%20Legislativa%20del%20Distrito%20Federal"" title=""wikipedia:es:Asamblea Legislativa del Distrito Federal"">Asamblea Legislativa del Distrito Federal</a></i></span><span>.</span>
<dl id=""mwCA""><dd id=""mwCQ""> <i id=""mwCg"">Legislative Assembly of the Federal District</i></dd></dl></li>"
Spanish,AMAF,Alternative forms,,JMAF, JMAF,"<li id=""mwAg""> <span class=""Latn"" id=""mwAw"" lang=""es""><a href=""JMAF.html"" title=""JMAF"">JMAF</a></span></li>"
Spanish,AMAF,Noun, m ‎(uncountable),HFCS , HFCS (high fructose corn syrup),"<li id=""mwCA""> <span class=""Latn"" id=""mwCQ"" lang=""en""><a href=""HFCS.html"" title=""HFCS"">HFCS</a></span> <span class=""gloss-brac"" id=""mwCg"">(</span><span class=""gloss-content"">high fructose corn syrup</span><span class=""gloss-brac"" id=""mwCw"">)</span></li>"
Spanish,ANHQV,Initialism,,"Aquí no hay quien viva, a Spanish sitcom"," Aquí no hay quien viva, a Spanish sitcom","<li id=""mwBg""> <a class=""external"" href=""https://en.wikipedia.org/wiki/Aquí%20no%20hay%20quien%20viva"" id=""mwBw"" title=""w:Aquí no hay quien viva"">Aquí no hay quien viva</a>, a Spanish <a href=""sitcom.html"" id=""mwCA"" title=""sitcom"">sitcom</a></li>"
Spanish,ANSA,Proper noun, f,ASEAN , ASEAN (association of Southeast Asian Nations),"<li id=""mwBg""> <span class=""Latn"" id=""mwBw"" lang=""en""><a href=""ASEAN.html"" title=""ASEAN"">ASEAN</a></span> <span class=""gloss-brac"" id=""mwCA"">(</span><span class=""gloss-content"">association of Southeast Asian Nations</span><span class=""gloss-brac"" id=""mwCQ"">)</span></li>"
Spanish,ANSA,Synonyms,,Asociación de Naciones del Sudeste Asiático, Asociación de Naciones del Sudeste Asiático,"<li id=""mwCw""> <span class=""Latn"" id=""mwDA"" lang=""es"">Asociación de Naciones del Sudeste Asiático</span></li>"
Spanish,ARN de transferencia,Noun, m ‎(plural ARN de transferencia), transfer RNA , (biochemistry) transfer RNA (short-chain RNA),"<li id=""mwBQ""> <span class=""ib-brac"" id=""mwBg"">(</span><span class=""ib-content"">biochemistry</span><span class=""ib-brac"" id=""mwBw"">)</span> <span class=""Latn"" id=""mwCA"" lang=""en""><a href=""transfer_RNA.html"" title=""transfer RNA"">transfer RNA</a></span> <span class=""gloss-brac"" id=""mwCQ"">(</span><span class=""gloss-content"">short-chain RNA</span><span class=""gloss-brac"" id=""mwCg"">)</span></li>"
Spanish,ARN mensajero,Noun, m ‎(plural ARN mensajeros), messenger RNA , (biochemistry) messenger RNA (information carrying RNA),"<li id=""mwBQ""> <span class=""ib-brac"" id=""mwBg"">(</span><span class=""ib-content"">biochemistry</span><span class=""ib-brac"" id=""mwBw"">)</span> <span class=""Latn"" id=""mwCA"" lang=""en""><a href=""messenger_RNA.html"" title=""messenger RNA"">messenger RNA</a></span> <span class=""gloss-brac"" id=""mwCQ"">(</span><span class=""gloss-content"">information carrying RNA</span><span class=""gloss-brac"" id=""mwCg"">)</span></li>"
Spanish,ARN mensajeros,Noun,,plural of ARN mensajero, plural of ARN mensajero,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""es""><a href=""ARN_mensajero.html"" title=""ARN mensajero"">ARN mensajero</a></i></span></span></li>"
Spanish,ARNt,Noun, m ‎(plural ARNt), tRNA , (biochemistry) tRNA (transfer RNA),"<li id=""mwBg""> <span class=""ib-brac"" id=""mwBw"">(</span><span class=""ib-content"">biochemistry</span><span class=""ib-brac"" id=""mwCA"">)</span> <span class=""Latn"" id=""mwCQ"" lang=""en""><a href=""tRNA.html"" title=""tRNA"">tRNA</a></span> <span class=""gloss-brac"" id=""mwCg"">(</span><span class=""gloss-content"">transfer RNA</span><span class=""gloss-brac"" id=""mwCw"">)</span></li>"
Spanish,Aarón,Proper noun, m,A male given name. Spanish equivalent of Aaron., A male given name. Spanish equivalent of Aaron.,"<li id=""mwBw""> <span class=""use-with-mention"" id=""mwCA"">A male <a href=""given_name.html"" title=""given name"">given name</a></span>. Spanish equivalent of <a href=""Aaron.html"" id=""mwCg"" title=""Aaron"">Aaron</a>.</li>"
Spanish,Ababa,Proper noun, f,A female given name, A female given name,"<li id=""mwBg""> <span class=""use-with-mention"" id=""mwBw"">A female <a href=""given_name.html"" title=""given name"">given name</a></span></li>"
Spanish,Abadán,Proper noun, ?,Abadan , Abadan (a city in Iran),"<li id=""mwBg""> <span class=""Latn"" id=""mwBw"" lang=""en""><a href=""Abadan.html"" title=""Abadan"">Abadan</a></span><span> (a city in </span><span class=""Latn"" lang=""en""><a href=""Iran.html"" title=""Iran"">Iran</a></span><span>)</span></li>"
Spanish,Abanto,Proper noun, m,"A town in Zaragoza, Aragon, Spain."," A town in Zaragoza, Aragon, Spain.","<li id=""mwBQ""> A town in Zaragoza, Aragon, <a href=""Spain.html"" id=""mwBg"" title=""Spain"">Spain</a>.</li>"
Spanish,Abanto,Proper noun, m,A  surname​., A  surname​.,"<li id=""mwBw""> <span class=""use-with-mention"" id=""mwCA"">A  <a href=""surname.html"" title=""surname"">surname</a><span>​</span>.</span></li>"
Spanish,Abdías,Proper noun, m,"Obadiah, Abdias "," Obadiah, Abdias (biblical character)","<li id=""mwBg""> <a href=""Obadiah.html"" id=""mwBw"" title=""Obadiah"">Obadiah</a>, <a href=""Abdias.html"" id=""mwCA"" title=""Abdias"">Abdias</a> <span class=""ib-brac"" id=""mwCQ""><span class=""qualifier-brac"">(</span></span><span class=""ib-content""><span class=""qualifier-content"">biblical character</span></span><span class=""ib-brac"" id=""mwCg""><span class=""qualifier-brac"">)</span></span></li>"
Spanish,Abdías,Proper noun, m, Obadiah , (bible) Obadiah (the book of the Bible),"<li id=""mwCw""> <span class=""ib-brac"" id=""mwDA"">(</span><span class=""ib-content"">bible</span><span class=""ib-brac"" id=""mwDQ"">)</span> <span class=""Latn"" id=""mwDg"" lang=""en""><a href=""Obadiah.html"" title=""Obadiah"">Obadiah</a></span> <span class=""gloss-brac"" id=""mwDw"">(</span><span class=""gloss-content"">the book of the Bible</span><span class=""gloss-brac"" id=""mwEA"">)</span></li>"
Spanish,Abelito,Proper noun, m,A diminutive of the male given name Abel., A diminutive of the male given name Abel.,"<li id=""mwBQ""> <span class=""use-with-mention"" id=""mwBg"">A <a href=""diminutive.html"" title=""diminutive"">diminutive</a> of the male <a href=""given_name.html"" title=""given name"">given name</a> <span class=""Latn"" lang=""es""><a href=""Abel.html"" title=""Abel"">Abel</a></span></span>.</li>"
Spanish,Abigaíl,Pronunciation,,IPA: [a̠.β̞i.ɣ̞ a̠ˈil], IPA(key): [a̠.β̞i.ɣ̞ a̠ˈil],"<li id=""mwBA""> IPA<sup>(key)</sup><span>:</span><span> </span><span class=""IPA"" lang="""">[a̠.β̞i.ɣ̞ a̠ˈil]</span></li>"
Spanish,Abigaíl,Etymology,,Hebrew אֲבִיגַיִל ‎.,"Hebrew אֲבִיגַיִל ‎(avigáyil, “Abigail”, literally “her Father's joy, or, fountain of joy”).","<p id=""mwBw""><span class=""etylcleanup"" id=""mwCA""><span class=""etyl""><a class=""external"" href=""https://en.wikipedia.org/wiki/Hebrew%20language"" title=""w:Hebrew language"">Hebrew</a></span></span> <i class=""Hebr mention"" id=""mwCg"" lang=""he""><a href=""%D7%90%D7%91%D7%99%D7%92%D7%99%D7%9C.html"" title=""אביגיל"">אֲבִיגַיִל</a></i><span> </span><span>‎</span><span class=""mention-gloss-paren"">(</span><span class=""tr mention-tr"" lang="""">avigáyil</span><span>, </span><span class=""mention-gloss-double-quote"">“</span><span class=""mention-gloss"">Abigail</span><span class=""mention-gloss-double-quote"">”</span><span>, literally </span><span class=""mention-gloss-double-quote"">“</span><span class=""mention-gloss"">her Father's joy, or, fountain of joy</span><span class=""mention-gloss-double-quote"">”</span><span class=""mention-gloss-paren"" id=""mwCw"">)</span>.</p>"
Spanish,Abigaíl,Proper noun, f, the wife of Nabal and later of David, (biblical) the wife of Nabal and later of David,"<li id=""mwEA""> <span class=""ib-brac"" id=""mwEQ"">(</span><span class=""ib-content"">biblical</span><span class=""ib-brac"" id=""mwEg"">)</span> the wife of Nabal and later of David</li>"
Spanish,Abigaíl,Proper noun, f,"A female given name, Abigail"," A female given name, Abigail","<li id=""mwEw""> <span class=""use-with-mention"" id=""mwFA"">A female <a href=""given_name.html"" title=""given name"">given name</a></span>, <a href=""Abigail.html"" id=""mwFg"" title=""Abigail"">Abigail</a></li>"
Spanish,Abisinia,Proper noun, f,Abyssinia, Abyssinia,"<li id=""mwCA""> <a href=""Abyssinia.html"" id=""mwCQ"" title=""Abyssinia"">Abyssinia</a></li>"
Spanish,Abiyán,Pronunciation,,IPA: [a.βi.ˈʝan], IPA(key): [a.βi.ˈʝan],"<li id=""mwAg""> IPA<sup>(key)</sup><span>:</span><span> </span><span class=""IPA"" lang="""">[a.βi.ˈʝan]</span></li>"
Spanish,Abiyán,Proper noun, ?,Abidjan , Abidjan (a city in Côte d'Ivoire),"<li id=""mwCQ""> <span class=""Latn"" id=""mwCg"" lang=""en""><a href=""Abidjan.html"" title=""Abidjan"">Abidjan</a></span><span> (a city in </span><span class=""Latn"" lang=""en""><a href=""C%C3%B4te_d'Ivoire.html"" title=""Côte d'Ivoire"">Côte d'Ivoire</a></span><span>)</span></li>"
Spanish,Abjasia,Alternative forms,,"Abjazia, Abkhazia"," Abjazia, Abkhazia","<li id=""mwBA""> <span class=""Latn"" id=""mwBQ"" lang=""es""><a href=""Abjazia.html"" title=""Abjazia"">Abjazia</a></span>, <span class=""Latn"" id=""mwBg"" lang=""es""><a href=""Abkhazia.html"" title=""Abkhazia"">Abkhazia</a></span></li>"
Spanish,Abjasia,Proper noun, f,Abkhazia , Abkhazia (territory in the Caucasus),"<li id=""mwCw""> <span class=""Latn"" id=""mwDA"" lang=""en""><a href=""Abkhazia.html"" title=""Abkhazia"">Abkhazia</a></span> <span class=""gloss-brac"" id=""mwDQ"">(</span><span class=""gloss-content"">territory in the Caucasus</span><span class=""gloss-brac"" id=""mwDg"">)</span></li>"
Spanish,Abjazia,Proper noun, f,Alternative form of Abjasia, Alternative form of Abjasia,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">Alternative form of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""es""><a href=""Abjasia.html"" title=""Abjasia"">Abjasia</a></i></span></span></li>"
Spanish,Abrahán,Proper noun, m,"A male given name, a variant of Abraham, the Spanish equivalent of Abraham."," A male given name, a variant of Abraham, the Spanish equivalent of Abraham.","<li id=""mwBg""> <span class=""use-with-mention"" id=""mwBw"">A male <a href=""given_name.html"" title=""given name"">given name</a></span>, a variant of <a href=""Abraham.html"" id=""mwCQ"" title=""Abraham"">Abraham</a>, the <a href=""Spanish.html"" id=""mwCg"" title=""Spanish"">Spanish</a> equivalent of <a href=""Abraham.html"" id=""mwCw"" title=""Abraham"">Abraham</a>.</li>"
Spanish,Abrahán,Related terms,,"Abraham,  Abrahan"," Abraham,  Abrahan","<li id=""mwDQ""> <span class=""Latn"" id=""mwDg"" lang=""es""><a href=""Abraham.html"" title=""Abraham"">Abraham</a></span></li>, <li id=""mwDw""> <span class=""Latn"" id=""mwEA"" lang=""es""><a href=""Abrahan.html"" title=""Abrahan"">Abrahan</a></span></li>"
Spanish,Absalón,Proper noun, m,A male given name. Spanish equivalent of Absalom., A male given name. Spanish equivalent of Absalom.,"<li id=""mwBg""> <span class=""use-with-mention"" id=""mwBw"">A male <a href=""given_name.html"" title=""given name"">given name</a></span>. Spanish equivalent of <a href=""Absalom.html"" id=""mwCQ"" title=""Absalom"">Absalom</a>.</li>"
Spanish,Abu Dabi,Proper noun, ?,Abu Dhabi , Abu Dhabi (capital of UAE),"<li id=""mwBQ""> <span class=""Latn"" id=""mwBg"" lang=""en""><a href=""Abu_Dhabi.html"" title=""Abu Dhabi"">Abu Dhabi</a></span> <span class=""gloss-brac"" id=""mwBw"">(</span><span class=""gloss-content"">capital of UAE</span><span class=""gloss-brac"" id=""mwCA"">)</span></li>"
Spanish,Abuya,Proper noun, f,Abuja , Abuja (the capital city of Nigeria),"<li id=""mwBQ""> <span class=""Latn"" id=""mwBg"" lang=""en""><a href=""Abuja.html"" title=""Abuja"">Abuja</a></span> <span class=""gloss-brac"" id=""mwBw"">(</span><span class=""gloss-content"">the capital city of Nigeria</span><span class=""gloss-brac"" id=""mwCA"">)</span></li>"
Spanish,Acrópolis,Proper noun, f,Acropolis , Acropolis (Athenian Acropolis),"<li id=""mwBg""> <span class=""Latn"" id=""mwBw"" lang=""en""><a href=""Acropolis.html"" title=""Acropolis"">Acropolis</a></span> <span class=""gloss-brac"" id=""mwCA"">(</span><span class=""gloss-content"">Athenian Acropolis</span><span class=""gloss-brac"" id=""mwCQ"">)</span></li>"
Spanish,Acuario,Proper noun, m,Aquarius , Aquarius (constellation),"<li id=""mwBg""> <span class=""Latn"" id=""mwBw"" lang=""en""><a href=""Aquarius.html"" title=""Aquarius"">Aquarius</a></span> <span class=""gloss-brac"" id=""mwCA"">(</span><span class=""gloss-content"">constellation</span><span class=""gloss-brac"" id=""mwCQ"">)</span></li>"
Spanish,Acuario,Synonyms,,Aquarius, Aquarius,"<li id=""mwCw""> <span class=""Latn"" id=""mwDA"" lang=""es""><a href=""Aquarius.html"" title=""Aquarius"">Aquarius</a></span></li>"
Spanish,Acuña,Proper noun, ?,A  surname​., A  surname​.,"<li id=""mwBg""> <span class=""use-with-mention"" id=""mwBw"">A  <a href=""surname.html"" title=""surname"">surname</a><span>​</span>.</span></li>"
Spanish,Adalberto,Proper noun, m,"A male given name, an older form of Alberto ."," A male given name, an older form of Alberto ( = Albert).","<li id=""mwBQ""> <span class=""use-with-mention"" id=""mwBg"">A male <a href=""given_name.html"" title=""given name"">given name</a></span>, an older form of <a href=""Alberto.html"" id=""mwCA"" title=""Alberto"">Alberto</a> ( = <a href=""Albert.html"" id=""mwCQ"" title=""Albert"">Albert</a>).</li>"
Spanish,Addis Abbaba,Proper noun, f,Alternative form of Addis Abeba, Alternative form of Addis Abeba,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">Alternative form of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""es""><a href=""Addis_Abeba.html"" title=""Addis Abeba"">Addis Abeba</a></i></span></span></li>"
Spanish,Adelia,Proper noun, f,"A female given name, a variant of Adela."," A female given name, a variant of Adela.","<li id=""mwBg""> <span class=""use-with-mention"" id=""mwBw"">A female <a href=""given_name.html"" title=""given name"">given name</a></span>, a variant of <i class=""Latn mention"" id=""mwCQ"" lang=""es""><a href=""Adela.html"" title=""Adela"">Adela</a></i>.</li>"
Spanish,Adelia,Related terms,,Delia, Delia,"<li id=""mwCw""> <span class=""Latn"" id=""mwDA"" lang=""es""><a href=""Delia.html"" title=""Delia"">Delia</a></span></li>"
Spanish,Adelina,Proper noun, f,"A diminutive of the female given name Adela, equivalent to English Adeline."," A diminutive of the female given name Adela, equivalent to English Adeline.","<li id=""mwBQ""> <span class=""use-with-mention"" id=""mwBg"">A <a href=""diminutive.html"" title=""diminutive"">diminutive</a> of the female <a href=""given_name.html"" title=""given name"">given name</a> <span class=""Latn"" lang=""es""><a href=""Adela.html"" title=""Adela"">Adela</a></span>, equivalent to English <span class=""Latn"" lang=""en""><a href=""Adeline.html"" title=""Adeline"">Adeline</a></span></span>.</li>"
Spanish,Adigio,Proper noun, m,Adige , Adige (river in South Tyrol),"<li id=""mwBQ""> <span class=""Latn"" id=""mwBg"" lang=""en""><a href=""Adige.html"" title=""Adige"">Adige</a></span> <span class=""gloss-brac"" id=""mwBw"">(</span><span class=""gloss-content"">river in South Tyrol</span><span class=""gloss-brac"" id=""mwCA"">)</span></li>"
Spanish,Adiguesia,Proper noun, f,Adygea, Adygea,"<li id=""mwBg""> <span class=""Latn"" id=""mwBw"" lang=""en""><a href=""Adygea.html"" title=""Adygea"">Adygea</a></span></li>"
Spanish,Adiguesia,Synonyms,,Adigueya, Adigueya,"<li id=""mwCQ""> <span class=""Latn"" id=""mwCg"" lang=""es"">Adigueya</span></li>"
Spanish,Adiguesia,Related terms,,adigués, adigués,"<li id=""mwDA""> <span class=""Latn"" id=""mwDQ"" lang=""es"">adigués</span></li>"
Spanish,Adisoda,Etymology,,"From Guanche ⴰⴷⵢⵙⵓⴷⴰ ‎, from *adis-uda, compound of *adis ""belly, pregnancy"" and *uda ""enough"".[1]","From Guanche ⴰⴷⵢⵙⵓⴷⴰ ‎(Adisoda), from *adis-uda, compound of *adis ""belly, pregnancy"" and *uda ""enough"".[1]","<p id=""mwAQ"">From <span class=""etylcleanup"" id=""mwAg""><span class=""etyl""><a class=""external"" href=""https://en.wikipedia.org/wiki/Guanche%20language"" title=""w:Guanche language"">Guanche</a></span></span> <i class=""None mention"" id=""mwBA"" lang=""gnc"">ⴰⴷⵢⵙⵓⴷⴰ</i><span> </span><span>‎</span><span class=""mention-gloss-paren"">(</span><span class=""tr mention-tr"" lang="""">Adisoda</span><span class=""mention-gloss-paren"" id=""mwBQ"">)</span>, from <i id=""mwBg"">*adis-uda</i>, compound of <i id=""mwBw"">*adis</i> ""belly, pregnancy"" and <i id=""mwCA"">*uda</i> ""enough"".<sup id=""cite_ref-IRG_1-0""><a href=""#cite_note-IRG-1"" style=""counter-reset: mw-Ref 1;""><span class=""mw-reflink-text"">[1]</span></a></sup></p>"
Spanish,Adisoda,Etymology,,"The name was found on a list of Guanche slaves as the name of a 30-year-old woman, sold on the slave market of Valencia on 28 June 1494.[2][1]","The name was found on a list of Guanche slaves as the name of a 30-year-old woman, sold on the slave market of Valencia on 28 June 1494.[2][1]","<p id=""mwCQ"">The name was found on a list of Guanche slaves as the name of a 30-year-old woman, sold on the slave market of Valencia on 28 June 1494.<sup id=""cite_ref-2""><a href=""#cite_note-2"" style=""counter-reset: mw-Ref 2;""><span class=""mw-reflink-text"">[2]</span></a></sup><sup id=""cite_ref-IRG_1-1""><a href=""#cite_note-IRG-1"" style=""counter-reset: mw-Ref 1;""><span class=""mw-reflink-text"">[1]</span></a></sup></p>"
Spanish,Adisoda,Proper noun, f,"A female given name from the Canary Islands
 2014 June 4,  África Pérez Salazar,  “1 premio al establecimiento con el escaparate mejor ralizado del municipio”, in  africacomercioymarketing  , retrieved 16 February 2016:En está [foto] aparecen dos compañeros llamados Alexandru, Adisoda y también salgo yo."," A female given name from the Canary Islands
 2014 June 4,  África Pérez Salazar,  “1 premio al establecimiento con el escaparate mejor ralizado del municipio”, in  africacomercioymarketing  (blog), retrieved 16 February 2016:En está [foto] aparecen dos compañeros llamados Alexandru, Adisoda y también salgo yo.","<li id=""mwDg""> <span class=""use-with-mention"" id=""mwDw"">A female <a href=""given_name.html"" title=""given name"">given name</a></span> from the <span class=""Latn"" id=""mwEQ"" lang=""en""><a href=""Canary_Islands.html"" title=""Canary Islands"">Canary Islands</a></span>
<ul id=""mwEg""><li id=""mwEw""> <div class=""citation-whole"" id=""mwFA""><span class=""cited-source""><b>2014</b> June 4,<span> </span><span> </span>África Pérez Salazar,<span> </span><span> </span>“1 premio al establecimiento con el escaparate mejor ralizado del municipio”, in<span> </span><span> </span><cite>africacomercioymarketing</cite><sup><a class=""external"" href=""http://africacomercioymarketing.blogspot.com.es/2014/06/1-premio-al-establecimiento-con-el.html""></a></sup><span> </span> (blog), retrieved <span class=""mw-formatted-date"" title=""2016-02-16"">16 February 2016</span>:</span><dl><dd><span class=""cited-passage""><span class=""Latn"" lang=""es""><a href=""en.html"" title=""en"">En</a></span> <span class=""Latn"" lang=""es""><a href=""est%C3%A1.html"" title=""está"">está</a></span> [<span class=""Latn"" lang=""es""><a href=""foto.html"" title=""foto"">foto</a></span>] <span class=""Latn"" lang=""es""><a href=""aparecen.html"" title=""aparecen"">aparecen</a></span> <span class=""Latn"" lang=""es""><a href=""dos.html"" title=""dos"">dos</a></span> <span class=""Latn"" lang=""es""><a href=""compa%C3%B1eros.html"" title=""compañeros"">compañeros</a></span> <span class=""Latn"" lang=""es""><a href=""llamados.html"" title=""llamados"">llamados</a></span> <span class=""Latn"" lang=""es""><a href=""Alexandru.html"" title=""Alexandru"">Alexandru</a></span>, <b>Adisoda</b> <span class=""Latn"" lang=""es""><a href=""y.html"" title=""y"">y</a></span> <span class=""Latn"" lang=""es""><a href=""tambi%C3%A9n.html"" title=""también"">también</a></span> <span class=""Latn"" lang=""es""><a href=""salgo.html"" title=""salgo"">salgo</a></span> <span class=""Latn"" lang=""es""><a href=""yo.html"" title=""yo"">yo</a></span>.</span></dd></dl></div></li></ul></li>"
