headword_lang,head,pos,additional_pos,trans(no paren),trans(with paren),original_html
English,A$,Abbreviation,, Australian dollar, (slang) Australian dollar,"<li id=""mwBg""> <span class=""ib-brac"" id=""mwBw"">(</span><span class=""ib-content"">slang</span><span class=""ib-brac"" id=""mwCA"">)</span> <a href=""Australian_dollar.html"" id=""mwCQ"" title=""Australian dollar"">Australian dollar</a></li>"
English,A$,Synonyms,,"AU$,  AUD"," AU$,  AUD","<li id=""mwCw""> <span class=""Latn"" id=""mwDA"" lang=""en""><a href=""AU%24.html"" title=""AU$"">AU$</a></span></li>, <li id=""mwDQ""> <span class=""Latn"" id=""mwDg"" lang=""en""><a href=""AUD.html"" title=""AUD"">AUD</a></span></li>"
English,A&B,Initialism,,Assault and Battery, Assault and Battery,"<li id=""mwBw""> <a href=""assault.html"" id=""mwCA"" title=""assault"">Assault</a> and <a href=""battery.html"" id=""mwCQ"" title=""battery"">Battery</a></li>"
English,A&E,Proper noun,mp;E, the accident and emergency  department of a hospital.," (chiefly Britain, New Zealand) the accident and emergency (casualty) department of a hospital.","<li id=""mwBQ""> <span class=""ib-brac"" id=""mwBg"">(</span><span class=""ib-content"">chiefly<span> </span><a class=""external"" href=""https://en.wikipedia.org/wiki/Britain"" title=""w:Britain"">Britain</a><span class=""ib-comma"">,</span><span> </span><a class=""external"" href=""https://en.wikipedia.org/wiki/New%20Zealand"" title=""w:New Zealand"">New Zealand</a></span><span class=""ib-brac"" id=""mwBw"">)</span> the <a href=""accident_and_emergency.html"" id=""mwCA"" title=""accident and emergency"">accident and emergency</a> (<a href=""casualty.html"" id=""mwCQ"" title=""casualty"">casualty</a>) <a href=""department.html"" id=""mwCg"" title=""department"">department</a> of a <a href=""hospital.html"" id=""mwCw"" title=""hospital"">hospital</a>.</li>"
English,A&E,Proper noun,mp;E,Initialism of Arts and Entertainment., Initialism of Arts and Entertainment.,"<li id=""mwDA""> <span class=""use-with-mention"" id=""mwDQ"">Initialism of <i class=""Latn mention"" lang=""en""><a href=""arts.html"" title=""arts"">Arts</a> and <a href=""entertainment.html"" title=""entertainment"">Entertainment</a></i></span><span>.</span></li>"
English,A&M,Alternative forms,,"A and M,  A. and M."," A and M,  A. and M.","<li id=""mwAw""> <span class=""Latn"" id=""mwBA"" lang=""en""><a href=""A_and_M.html"" title=""A and M"">A and M</a></span></li>, <li id=""mwBQ""> <span class=""Latn"" id=""mwBg"" lang=""en""><a href=""A._and_M..html"" title=""A. and M."">A. and M.</a></span></li>"
English,A&M,Initialism,,"Agricultural and Mechanical, a historical university description"," Agricultural and Mechanical, a historical university description","<li id=""mwDA""> Agricultural and Mechanical, a historical university description</li>"
English,A&M,Initialism,,"Agricultural and Mines, a historical university description"," Agricultural and Mines, a historical university description","<li id=""mwDQ""> Agricultural and Mines, a historical university description</li>"
English,A&P,Adjective,mp;P ‰Û_(not comparable), Initialism of anterior and posterior., (medicine) Initialism of anterior and posterior.,"<li id=""mwBQ""> <span class=""ib-brac"" id=""mwBg"">(</span><span class=""ib-content"">medicine</span><span class=""ib-brac"" id=""mwBw"">)</span> <span class=""use-with-mention"" id=""mwCA"">Initialism of <i class=""Latn mention"" lang=""en""><a href=""anterior.html"" title=""anterior"">anterior</a> and <a href=""posterior.html"" title=""posterior"">posterior</a></i></span><span>.</span></li>"
English,A&R,Alternative forms,,A. &amp; R., A. &amp; R.,"<li id=""mwAw""> <span class=""Latn"" id=""mwBA"" lang=""en""><a href=""A._%26_R..html"" title=""A. &amp; R."">A. &amp; R.</a></span></li>"
English,A&R,Initialism,,"Alternative form of A &amp; R 1999, Mireille Silcott, Rave America: New School Dancescapes  Those visiting British A&amp;R men realized that it would be hard to package the Detroit music they were hearing as house: it was colder and more electronicky, its lineage was not disco, and it was more obviously conceptualized  [‰Û_] "," Alternative form of A &amp; R 1999, Mireille Silcott, Rave America: New School Dancescapes (page 27) Those visiting British A&amp;R men realized that it would be hard to package the Detroit music they were hearing as house: it was colder and more electronicky, its lineage was not disco, and it was more obviously conceptualized  [‰Û_] ","<li id=""mwCg""> <span class=""form-of-definition"" id=""mwCw"">Alternative form of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""A_%26_R.html"" title=""A &amp; R"">A &amp; R</a></i></span></span><ul id=""mwDA""><li id=""mwDQ""> <b id=""mwDg"">1999</b>, Mireille Silcott, <i id=""mwDw"">Rave America: New School Dancescapes</i> (page 27)<dl id=""mwEA""><dd id=""mwEQ""> Those visiting British <b id=""mwEg"">A&amp;R</b> men realized that it would be hard to package the Detroit music they were hearing as house: it was colder and more electronicky, its lineage was not disco, and it was more obviously conceptualized <span class=""q-hellip-sp"" id=""mwEw""><span> </span></span><span class=""q-hellip-b"">[</span><span>‰Û_</span><span class=""q-hellip-b"">]</span><span class=""q-hellip-b"" id=""mwFA""><span> </span></span></dd></dl></li></ul></li>"
English,A'asia,Proper noun,,"Abbreviation of Australasia. 1971, The Australasian engineer: Volume 63 Alfred Herbert  Pty Ltd"," Abbreviation of Australasia. 1971, The Australasian engineer: Volume 63 Alfred Herbert (A'asia) Pty Ltd","<li id=""mwBg""> <span class=""use-with-mention"" id=""mwBw"">Abbreviation of <i class=""Latn mention"" lang=""en""><a href=""Australasia.html"" title=""Australasia"">Australasia</a></i></span><span>.</span><ul id=""mwCQ""><li id=""mwCg""> <b id=""mwCw"">1971</b>, <i id=""mwDA"">The Australasian engineer: Volume 63</i><dl id=""mwDQ""><dd id=""mwDg""> Alfred Herbert (<b id=""mwDw"">A'asia</b>) Pty Ltd</dd></dl></li></ul></li>"
Dutch,A'dam,Proper noun,åÊn,Abbreviation of Amsterdam., Abbreviation of Amsterdam.,"<li id=""mwBg""> <span class=""use-with-mention"" id=""mwBw"">Abbreviation of <i class=""Latn mention"" lang=""nl""><a href=""Amsterdam.html"" title=""Amsterdam"">Amsterdam</a></i></span><span>.</span></li>"
Danish,A'er,Pronunciation,,"IPA: /Ì_èƒ/, [èöÌ_èƒ],  Rhymes: -Ì_èƒ,  Audio "," IPA(key): /Ì_èƒ/, [èöÌ_èƒ],  Rhymes: -Ì_èƒ,  Audio (Copenhagen)(file)","<li id=""mwAw""> IPA<sup>(<a class=""external"" href=""https://en.wikipedia.org/wiki/Danish%20phonology"" title=""wikipedia:Danish phonology"">key</a>)</sup><span>:</span><span> </span><span class=""IPA"" lang="""">/Ì_èƒ/</span><span>, </span><span class=""IPA"" lang="""">[èöÌ_èƒ]</span></li>, <li id=""mwBg""> <span id=""mwBw"">Rhymes: </span><span class=""IPA"" lang="""">-Ì_èƒ</span></li>, <li id=""mwCQ""> <table class=""audiotable"" id=""mwCg"" style=""vertical-align: top; display:inline-block; list-style:none;line-height: 1em; border-collapse:collapse;""><tbody><tr><td class=""unicode audiolink"" style=""padding-right:5px; padding-left: 0;"">Audio (Copenhagen)</td><td class=""audiofile""></td><td class=""audiometa"" style=""font-size: 80%;"">(file)</td></tr></tbody></table></li>"
Danish,A'er,Noun,,plural indefinite of A, plural indefinite of A,"<li id=""mwEA""> <span class=""form-of-definition"" id=""mwEQ"">plural indefinite of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""da""><a href=""A.html"" title=""A"">A</a></i></span></span></li>"
